"","회사명","면접질문"
"1","삼성전자(주)","팀원 중 한명이 능력이 떨어지면 어떻게 할것인가?"
"2","삼성전자(주)","OO씨가 생각하는 리더십이란 무엇이가?"
"3","삼성전자(주)","입사해 제품을 개발한다면 어떤 제품을 개발하고 싶은가?"
"4","삼성전자(주)","입사를 한다면 어떤식으로 업무에 응할 것인지"
"5","삼성전자(주)","경력직 이직인데 이직한 이유가 있는지"
"6","삼성전자(주)","업무절차 프로세스 질문을 함 ex)관공서 대응"
"7","삼성전자(주)","자기소개"
"8","삼성전자(주)","이직 사유"
"9","삼성전자(주)","마지막으로 하구 싶은 말"
"10","삼성전자(주)","아르바이트 경험"
"11","삼성전자(주)","왜 지원을 했는지"
"12","삼성전자(주)","잠은 잘 자는 편인지"
"13","삼성전자(주)","동아리 활동"
"14","삼성전자(주)","기업의 사회적책임에 대해서 어떻게 생각하는가?"
"15","삼성전자(주)","전자공학전공이신데 왜 공정기술직무로 지원하셨나요?"
"16","삼성전자(주)","대외활동중에서 가장 기억에 남는 활동은?"
"17","삼성전자(주)","설비를 직접해본적이 있는가?"
"18","삼성전자(주)","~~으로 상을 받았는데 ~~은 무엇인가?"
"19","삼성전자(주)","자격증 무엇을 땄는가?"
"20","삼성전자(주)","부당한 지시가 있다면 어떻게 할 것인가?"
"21","삼성전자(주)","선배에게 정당한 지시를 하려고 하면 어떻게 할 것인가?"
"22","삼성전자(주)","p형, n형 반도체는 무엇인가?"
"23","삼성전자(주)","본인의 창의적인 경험을 말해보세요."
"24","삼성전자(주)","본인의 학점이 상당히 좋은데 대학시절 혹시 공부만 한 건 아니었나요? or 비결이 무엇이라고 생각하나요?"
"25","삼성전자(주)","우리 회사에서 인턴을 했는데 최종면접에서 전환이 안 되었는데 그 이유는 무엇이라고 생각하나요?"
"26","삼성전자(주)","LOCOS 공정에 대해 설명해 보세요."
"27","삼성전자(주)","conformal한 증착을 위해 필요한 조건을 아는 대로 말해 보세요."
"28","삼성전자(주)","이전직장에서 무슨업무했는지?"
"29","삼성전자(주)","왜 이직하는지?"
"30","삼성전자(주)","그 전 회사가 다수일경우 두개회사 비교질문"
"31","현대자동차(주)","포트폴리오 기반 질문"
"32","현대자동차(주)","갈등 발생 시 어떻게 해결"
"33","현대자동차(주)","상사와 트러블 시 어떻게 해결"
"34","현대자동차(주)","스스로의 강점? 다른 지원자보다 우수하다고 생각하는점"
"35","현대자동차(주)","입사전경험은무엇인지?"
"36","현대자동차(주)","전공을 어떻게 살리고 싶은지?"
"37","현대자동차(주)","해본 직무들은 어떤것이 있나요?"
"38","현대자동차(주)","현대자동차에대해 어떻게 생각하시나요?"
"39","현대자동차(주)","자동차란 무엇입니까?"
"40","현대자동차(주)","프로젝트 진행 중 고충 및 해결방안"
"41","현대자동차(주)","학점이 많이 낮은데 왜그런건지"
"42","현대자동차(주)","만일 떨어지면 다른데 지원할곳 있는지"
"43","국민건강보험공단","회사를 선택한 이유"
"44","국민건강보험공단","기억에 남았던 실습"
"45","국민건강보험공단","나의 장점"
"46","SK(주)","강약점"
"47","SK(주)","취미생활"
"48","SK(주)","어려운점 극복"
"49","LG전자(주)","경력사항과 퇴사이유"
"50","LG전자(주)","취미와 특기"
"51","LG전자(주)","자격증 관련 질문"
"52","LG전자(주)","간단한 자기소개 한번 해보세요."
"53","LG전자(주)","입사를 하게되면 2년 계약직으로 근무하는데 어떤 미래를 바라보고 근무 할건가요??"
"54","LG전자(주)","경력사항이 별로 없는데 이유가 있나요??"
"55","LG전자(주)","자격증 관련 용어 질문"
"56","LG전자(주)","자소서 기반한 질문"
"57","LG전자(주)","출근에 관련한 질문"
"58","기아(주)","그 전 회사는 왜 퇴사했어요?"
"59","기아(주)","비영리쪽 커리어는 생각을 안해봤어요?"
"60","기아(주)","왜 무인 택배가 상용화되려는 움직임이 있는 것 같아요?"
"61","기아(주)","성격 장단점 / 자소서기반 질문"
"62","기아(주)","10년후 입사후 포부 / 자소서기반 질문"
"63","기아(주)","성장과정/ 자소서기반 질문"
"64","기아(주)","이전 근무지에서 트러블은 없었나?"
"65","기아(주)","직무를 위해 준비한게 있나?"
"66","기아(주)","본인성격의 단점이 뭐라고생각하나?"
"67","한국전력공사","최근 한전 이슈는?"
"68","한국전력공사","어느 직무를 하고싶은지? 하고 싶은 직무 있는지?"
"69","한국전력공사","1분 자기소개"
"70","한국전력공사","지난 직장의 경력소개"
"71","한국전력공사","학교소개"
"72","한국전력공사","경력이 상이한데 어떻게 적응할지"
"73","(주)포스코","본인의 좌우명은?"
"74","(주)포스코","어느 위치까지 올라가고 싶은가?"
"75","(주)포스코","회사 지원동기"
"76","(주)포스코","경력에 대한 세부 질문"
"77","(주)포스코","실무에 대한 질문 (철골기준, 콘크리트 타설기준 등)"
"78","(주)포스코","이직사유"
"79","(주)포스코","이전 회사에서 퇴사한 사유"
"80","(주)포스코","통근 하는데 문제는 없는지?"
"81","(주)포스코","출근시간이 이른데 괜찮은지?"
"82","(주)포스코","관심있는 직무 분야는?"
"83","(주)포스코","공장이 포항에 있는데 지방 근무 자신 있는지?"
"84","(주)포스코","학교에서 재밌게 들었던 과목은?"
"85","(주)포스코","포스코 전망에 대해 어떻게 보는가?"
"86","(주)포스코","포스코 재무제표 어떤 것 같은지?"
"87","(주)포스코","지원동기"
"88","(주)포스코","상황질문"
"89","(주)포스코","자신의 강점"
"90","(주)포스코","자기소개서는 형식적인거고, 본인이 포스코케미칼에 들어오기위해 노력한 것은 어떠한 것이 있습니까?"
"91","(주)포스코","봉사활동 실적(260시간)이 많은데 봉사를 하게된 결정적 계기는?"
"92","(주)포스코","연고지가 없는 지역에서의 직장생활 어떻게 생각하시나요?"
"93","(주)포스코","마지막으로 하고싶은 말이 있나요?"
"94","(주)포스코","왜 탈산제를 알루미늄으로 만드는가?"
"95","(주)포스코","가장 잘 아는 원소 1가지에 대해 설명해보라"
"96","(주)포스코","고로와 전기로의 차이점은?"
"97","(주)포스코","자신에게 가장 맞는 색깔은?"
"98","(주)포스코","가장 존경하는 인물은?"
"99","(주)포스코","이전 경력사항에 대한 질문"
"100","(주)포스코","보유 기술"
"101","(주)포스코","이직 사유"
"102","(주)포스코","사무직과 현장직의 차이"
"103","(주)포스코","전기직무면접 RLC는 각각 무엇을 의미하는가?"
"104","(주)포스코","봉사활동을 많이한 이유"
"105","(주)포스코","교내외 수상이 많은 이유"
"106","(주)포스코","포스코를 지원하게 된 이유"
"107","(주)포스코","본인이 CEO라면 회사의 이윤을 어디에다 활용한 것인가?"
"108","(주)포스코","포스코 매출액"
"109","(주)포스코","IOT란?"
"110","(주)포스코","존경하는 인물 가족 선생님 제외 포스고 관련 제외"
"111","(주)포스코","다른 사람은 자격증 있는데 왜 자격증이 없어요?"
"112","(주)포스코","회사랑 관련없는 제작 대회나 참가했는데 이게 무슨 도움이 되죠?"
"113","(주)포스코","인터넷 댓글로 안 좋은 댓글 달아서 사람들 자살하고 그러잖아요? 인터넷 실명제와 익명제에 대해 찬반을 말하고 그 이유를 말하세요."
"114","(주)한화","학력 및 경력사항에 관한 질문"
"115","(주)한화","지원분야 업무에 대한 이해도"
"116","(주)한화","입사 후 포부"
"117","(주)한화","영어를 잘하는가?"
"118","(주)한화","화약에 대해 논해보시오"
"119","(주)한화","플랜트 시장에서 한국이 살아남으려면?"
"120","(주)한화","Why did you apply to this job?"
"121","(주)한화","왜 우리회사를 선탹하였는가?"
"122","(주)한화","지원한 업무가 무슨일인지 설명하시오."
"123","(주)한화","이직 사유"
"124","(주)한화","VCB와 ACB 차이점을 아는가"
"125","(주)한화","직장 생활에 있어 중요하다고 생각하는것은?"
"126","현대모비스(주)","근무지가 지방인데 와서 적응할 수 있는지"
"127","현대모비스(주)","상사가 부당한 지시를 하면 어떻게 할 것인가?"
"128","현대모비스(주)","JIS 시스템에 대해 들어본 적이 있는지"
"129","현대모비스(주)","팀원간의 갈등이나 불화를 겪었던 경험 여부와 해결 방법"
"130","현대모비스(주)","만약 최종합격된다면 먼저 연락할사람은 누구인가"
"131","현대모비스(주)","지원한 직무에대해서 얼마만큼 알고 있는지"
"132","현대모비스(주)","경력에 관련하여 상세질문"
"133","현대모비스(주)","해당직무에대해 알고있는지?"
"134","현대모비스(주)","입사 후 어떻게 업무를 처리해 나갈것인지"
"135","현대모비스(주)","일하면서 힘들고 짜증났을때 어떻게 대처하였는지"
"136","현대모비스(주)","본인의 성격이 내향적인지 외향적인지"
"137","현대모비스(주)","본인은 인내심있는 성격이라고 생각하는가? 예시를 들어보세요."
"138","현대모비스(주)","자기소개해주세요."
"139","현대모비스(주)","이전 회사퇴사 사유"
"140","현대모비스(주)","석사 학위 이후 계획"
"141","현대모비스(주)","사회생활 중 어려웠던 경험"
"142","현대모비스(주)","자신의 성격은?"
"143","현대모비스(주)","경력 사항은?"
"144","현대모비스(주)","구직기간 동안 무엇을 했는지?"
"145","현대모비스(주)","1분자기소개해보세요"
"146","현대모비스(주)","자소서 경력질문"
"147","현대모비스(주)","힘들엇던 경험 극복사례"
"148","SK이노베이션(주)","본인의 커리어 골은 무엇이며 어떤 역할을 기대하고 있습니까?"
"149","SK이노베이션(주)","본인이 생각하는 SK이노베이션의 비즈니스 측면에서의 SWOT 분석은?"
"150","SK이노베이션(주)","비즈니스 상황을 제시하며 이러한 경우 본인이 제시할 수 있는 솔루션은?"
"151","SK이노베이션(주)","1분 자기소개서"
"152","SK이노베이션(주)","지원동기"
"153","SK이노베이션(주)","지원기간 근무 및 환경"
"154","SK이노베이션(주)","박사과정은 생각안해봤는지?"
"155","SK이노베이션(주)","왜 우리회사에 오고싶은가?"
"156","SK이노베이션(주)","자소서 기반의 날카로운 질문들"
"157","에스케이하이닉스(주)","쉬는 날 어떻게 시간을 보내는가?"
"158","에스케이하이닉스(주)","나보다 나이가 어린 사람이 선임일 경우 어떨거 같은지?"
"159","에스케이하이닉스(주)","자신의 강점"
"160","삼성물산(주)","조경분야에서 경험한 것은 무엇인가?"
"161","삼성물산(주)","현장에서 동료들과 어떻게 함께 일을 할 것인가?"
"162","삼성물산(주)","혹서 또는 혹한에도 야외에서 일할 수 있는가?"
"163","삼성물산(주)","전 직장에서 제일 인상깊었던 일"
"164","삼성물산(주)","패션 트렌드를 어떻게 알아가고있는지"
"165","삼성물산(주)","지원동기"
"166","(주)LG화학","현재 회사도 좋은데 lg화학을 지원한 이유는?"
"167","(주)LG화학","자기소개 1분"
"168","(주)LG화학","자기 소개에서 말한 경력사항을 자세히 말해보세요"
"169","(주)LG화학","경력이 짧은데 왜 당신을 뽑아야하는지 이유를 말해보세요"
"170","(주)LG화학","오는 거리"
"171","(주)LG화학","단기로 할수 있는지"
"172","(주)LG화학","스캔업무 경험 있는지"
"173","(주)LG화학","자신의 미래의 종착지와 LG화학을 연관시켜 애기해보세요"
"174","(주)LG화학","자기 자신을 한가지 단어로 표현하고 이유를 말해보세요"
"175","(주)LG화학","자격증을 왜 많이 땄는지"
"176","(주)LG화학","자신이 딴 자격증은 LG화학에게 어떤 도움이 되는지"
"177","(주)LG화학","자신이 집과 먼 곳에서 근무하게 된다면 직무에 지장이 가지는 않는지"
"178","(주)LG화학","경력을 토대로한 자기소개"
"179","(주)LG화학","LG화학에서의 업무 계획"
"180","(주)LG화학","지원 동기"
"181","국민연금공단","보유 기술 질문"
"182","국민연금공단","해당 경험 질문"
"183","국민연금공단","대처능력"
"184","한국토지주택공사","지원동기"
"185","한국토지주택공사","팀원과 협력한 경험"
"186","한국토지주택공사","실패했던 경험"
"187","한국토지주택공사","인천지역이 어떻게 재생되면 좋을지, 본인의 역량이 어떻게 도움이 될지"
"188","한국토지주택공사","지원한 지역의 현재 도시재생 현황은?"
"189","한국토지주택공사","인턴십이 끝나도 계속해서 이 분야에서 일을 할 것인가"
"190","CJ제일제당(주)","생산에서 가장 중요한 것은?"
"191","CJ제일제당(주)","우리공장 제품은 뭐가 있나?"
"192","CJ제일제당(주)","나이어린 선배도 있을 수 있는데 어떤 마음가짐으로 일을 하겠는가?"
"193","CJ제일제당(주)","집이 어딘지, 어디서 왔는지(집 가까운 사람을 선호하는 분위기)"
"194","CJ제일제당(주)","우리 부서가 어떤 연구를 하는지 알고 있는지"
"195","CJ제일제당(주)","석사 때 했던 실험이 우리 직무와 비슷한데 모든 과정을 다 할 줄 아는지"
"196","CJ제일제당(주)","석사 때 논문들이 대부분 어떤 내용인지"
"197","CJ제일제당(주)","그 외 다뤘던 실험에 대한 자세한 꼬리질문들"
"198","CJ제일제당(주)","감압변과 안전밸브차이."
"199","CJ제일제당(주)","psm 운영 시 어려웠던점은?"
"200","CJ제일제당(주)","예전 회사와 식품 회사는 다른데 어떻게 관리할 생각인지"
"201","CJ제일제당(주)","식품영업이 무엇이라고 생각하는가?"
"202","CJ제일제당(주)","다른 회사에도 지원했는가?"
"203","CJ제일제당(주)","타인과 의견 충돌 시 어떻게 대처하는 스타일인가?"
"204","CJ제일제당(주)","경력사항 1분 소개"
"205","CJ제일제당(주)","자신의 성격"
"206","CJ제일제당(주)","평소 인간관계"
"207","CJ제일제당(주)","본인은 CJ제일제당에서 어떠한 인재가 될 수 있는가?"
"208","CJ제일제당(주)","식품 관련 일을 하기 위해 노력한 것은?"
"209","CJ제일제당(주)","지원 공장에 지원한 이유?"
"210","CJ제일제당(주)","CJ제일제당에 지원한 이유?"
"211","CJ제일제당(주)","가공식품이 건강에 미치는 영향?"
"212","CJ제일제당(주)","선배가 직무 수행에서 불법을 저질렀습니다. 어떻게 대처하시겠어요?"
"213","CJ제일제당(주)","본인은 열심히 살아왔다고 생각하세요?"
"214","CJ제일제당(주)","가장 기억에 남는 것이 무엇인가요?"
"215","CJ제일제당(주)","공압과 유압에 대해서 면접관에게 설명해주세요"
"216","CJ제일제당(주)","회사를 지원한 계기"
"217","CJ제일제당(주)","회사에서 힘든 일이 있을때 해결은 어떻게 하겠느냐"
"218","CJ제일제당(주)","석사 때 연구주제에 관한 질문"
"219","CJ제일제당(주)","석사 때 연구했던 것을 회사에서 어떻게 써먹을 수 있을지"
"220","CJ제일제당(주)","본인의 연구 주제에 대한 기여도"
"221","엘지디스플레이(주)","LG디스플레이만이 가지고 있는 제품은?"
"222","엘지디스플레이(주)","W-OLED에 대한 설명?"
"223","엘지디스플레이(주)","LG를 지원하게 된 이유?"
"224","엘지디스플레이(주)","회사에대해 아는게 무엇이 있나요"
"225","엘지디스플레이(주)","입사하여 하고싶은 업무는"
"226","엘지디스플레이(주)","왜 지원했나요"
"227","(주)케이티","지원동기"
"228","(주)케이티","본인의 직무관련 장점"
"229","(주)케이티","본인의 성격의 단점"
"230","(주)케이티","부모님과의 관계"
"231","(주)케이티","상사와 트러블시 태도"
"232","(주)케이티","회계학적 지식"
"233","(주)케이티","언어능력테스트"
"234","(주)케이티","회사에서 이루고 싶은 목적"
"235","(주)케이티","인생에서의 목적"
"236","(주)케이티","전공공부를 한 이유"
"237","(주)케이티","자기소개 및 지원동기"
"238","(주)케이티","회사에 대해 아는지"
"239","(주)케이티","경영쪽 직무가 잘 맞는지"
"240","(주)케이티","기존에 어떠한 직무를 하였는지"
"241","(주)케이티","본인이 이 직무를 선택한 이유"
"242","(주)케이티","본인이 선발 되어야 하는 이유"
"243","(주)케이티","경력이 어떻게 되나"
"244","(주)케이티","특허에 대해서 잘 아나?"
"245","(주)케이티","우리가 본인과에 맞지 않는 부분도 있는데 왜 지원했나?"
"246","(주)케이티","가장 재미있었던 대학 강의는?"
"247","(주)케이티","뉴딜정책에서의 kt의 구체적 역할은?"
"248","(주)케이티","ip 클라스 설명해보라"
"249","(주)케이티","자기소개를 해보세요"
"250","(주)케이티","본인 전공을 지원 직무에 응용할 방안에 대해 생각해본 것이 있나"
"251","(주)케이티","자소서에 oo내용을 지원 동기라고 적었는데, 좀 더 상세하게 설명해줄 수 있나"
"252","(주)케이티","도피성 지원이 보이는데 본인이 왜 해당 직무가 맞는지 면접관을 설득해 보세요."
"253","(주)케이티","거주지와 달라도 상관이 없나요?"
"254","(주)케이티","희망 연봉은 어떻게 되나요?"
"255","(주)케이티","타 회사에 있었는데 왜 여기로 이직 지원을 했나요?"
"256","(주)케이티","강사로서 하고 싶은 일은?"
"257","(주)케이티","통신업무에 대해 얼마나 알고 있는가?"
"258","(주)케이티","어떤 강의를 하고 싶은가?"
"259","(주)케이티","특허 관련해서 알고 있는 것"
"260","(주)케이티","우리 회사가 하는 일은"
"261","(주)케이티","입사후 어떻게 할 것인가"
"262","(주)신한은행","자기소개 30초 이내로 간단하게"
"263","(주)신한은행","2금융권과 1금융권의 차이점? 본인이 느낀 2금융권의 장단점?"
"264","(주)신한은행","(롤플레잉면접)근무중 취준생이 내방해 계속 질문을 한다면 어떻게 대처할 것인지?"
"265","(주)이마트","뭐하다가 왔나"
"266","(주)이마트","유통쪽 경험이 있나"
"267","(주)이마트","우리 회사중 방문한 곳과 느낀점"
"268","(주)이마트","자기소개"
"269","(주)이마트","이마트와 이마트 트레이더스에 차이점"
"270","(주)이마트","다른 유통업에 경험이 있다면 왜 이마트로 지원을 하였는지"
"271","(주)이마트","대체적으로 다른 곳에서 일해보았는데 유통이나 영업부분이라면 그것에대하여 질문한다."
"272","(주)이마트","원하는 곳에 배치 되어지지 않았을 때 어떻게 할 것인가"
"273","(주)이마트","어렸을 때 부터 지금까지 이룬 것."
"274","(주)이마트","이마트가 다른 대형마트보다 앞서 나갈 수 있었던 이유"
"275","(주)이마트","앞으로 이마트에 방향"
"276","(주)이마트","요새 대형마트들이 다 무너지고 있는 실정에서 어떻게 극복할 것인가"
"277","(주)이마트","이번 채용전 이마트에브리데이를 방문한 경험이 있는가?"
"278","(주)이마트","육체적으로 힘들수 있다. 잘버틸수있는가?"
"279","(주)이마트","자기소개서 항목중 1~2개 항목 질문"
"280","(주)이마트","간략한 자기소개"
"281","(주)이마트","지원하는 업종에서 우리 회사가 다른 회사와의 차별점은?"
"282","(주)이마트","업무에서 가장 중요하다고 생각되는 요소는 무엇인가"
"283","삼성화재","자기소개, 직무내용, 지원동기"
"284","삼성화재","스트레스 해소 방법"
"285","삼성화재","마지막으로 하고 싶은 말"
"286","삼성화재","경력사항에 대한 상세한 질문과 퇴사사유"
"287","삼성화재","스트레스 관리"
"288","삼성화재","어떤업무인지 알고 지원했는가"
"289","삼성화재","삼성화재 텔러가 어떤 업무 하는지 아는가?"
"290","삼성화재","우리 회사를 지원하게 된 이유"
"291","삼성화재","전에 다니던 회사는 어떤회사인가?"
"292","삼성화재","보험이 왜 필요하다고 생각하는가?"
"293","삼성화재","행복은 무엇이라고 생각하는가?"
"294","삼성화재","스트레스 해소법은?"
"295","삼성화재","회사에 지원한 이유"
"296","삼성화재","전 회사 퇴사 사유들 질문"
"297","삼성화재","야근이 발생해도 괜찮은가"
"298","삼성생명보험(주)","다른 회사 어디 썼나"
"299","삼성생명보험(주)","회사를 선택한 이유"
"300","삼성생명보험(주)","산업에 대한 이해"
"301","삼성생명보험(주)","나의 가치관은?"
"302","삼성생명보험(주)","전 직장 퇴사시 퇴사이유?"
"303","삼성생명보험(주)","회사 지원동기는?"
"304","현대제철(주)","현대제철을 모르는 사람에게 현대제철을 소개한다면?"
"305","현대제철(주)","지원동기는?"
"306","현대제철(주)","일을 잘하는 것과 열심히 하는 것 중 더 중요한 것은?"
"307","현대제철(주)","가장 많이 사용하는 엑셀 함수는?"
"308","현대제철(주)","경력과 다른 직무일 경우, 경력과 다른 직무인데 지원하게 된 이유는?"
"309","현대제철(주)","지원자분을 뽑아야되는 이유는?"
"310","현대제철(주)","자기소개 필수"
"311","현대제철(주)","일이 힘들때 어떻게 대처하는지"
"312","현대제철(주)","출퇴근 관련 질문"
"313","현대제철(주)","어떤일을 해왔는가 ?"
"314","현대제철(주)","우리회사장점은?"
"315","현대제철(주)","우리회사의 신제품이 뭐있는가?"
"316","현대제철(주)","자기소개"
"317","현대제철(주)","경력직무 상세질문"
"318","현대제철(주)","마지막 한마디"
"319","현대제철(주)","자기소개"
"320","현대제철(주)","지원동기"
"321","현대제철(주)","직무경험"
"322","중소기업은행","은행에 지원하게 된 계기?"
"323","중소기업은행","기업은행 지점에 방문해본 경험?"
"324","중소기업은행","이력서 기반 경험면접"
"325","현대건설(주)","일의 가치는 무엇이라 생각하는가?"
"326","현대건설(주)","본인의 전공외에 플랜트 다른 분야에 대해서 아는 지식이 있는가?"
"327","현대건설(주)","철손에 대해서 설명하시오."
"328","현대건설(주)","어디사느냐"
"329","현대건설(주)","경험있느냐"
"330","현대건설(주)","나이"
"331","현대건설(주)","이직하려는 사유는?"
"332","현대건설(주)","지금까지의 경력에 대해 간단하게 소개 후 현재 맡고 있는 업무 설명."
"333","현대건설(주)","현재 하고 있는 업무 외에 다른 업무 수행도 가능한가?"
"334","현대글로비스(주)","회사에 대해 얼마나 아는지"
"335","현대글로비스(주)","정산업무에 대해 얼마나 아는지"
"336","현대글로비스(주)","본인의 강점은"
"337","롯데쇼핑(주)","실 업무내용 물어봄"
"338","롯데쇼핑(주)","복지"
"339","롯데쇼핑(주)","복지"
"340","두산중공업(주)","경력 마지막근무지"
"341","두산중공업(주)","Erp사용기능여부"
"342","두산중공업(주)","엑셀 사용여부"
"343","두산중공업(주)","회사에 지원하게된 이유"
"344","두산중공업(주)","하게될 일이 생각보다 단조로울수 있는데 괜찮은지"
"345","두산중공업(주)","영어는 잘 하는지"
"346","현대해상화재보험(주)","성적관리는 어떻게 했는지?"
"347","현대해상화재보험(주)","여러명의 선배들이 동시에 일 시키는데 다 급하다 하면 누구꺼 먼저 처리할건지?"
"348","현대해상화재보험(주)","신입사원으로서 선배들과 친해지기위해 어떻게 행동할건지?"
"349","현대해상화재보험(주)","나이가 너무 어린데, 근무 잘 하실수 있으세요?"
"350","현대해상화재보험(주)","어디에 사세요?"
"351","현대해상화재보험(주)","회사경력있으신가요?"
"352","DB손해보험(주)","사는지역?"
"353","DB손해보험(주)","가족?"
"354","DB손해보험(주)","성격은?"
"355","DB손해보험(주)","회사에 지원하게된 동기"
"356","DB손해보험(주)","자기자신에 대한 평가"
"357","DB손해보험(주)","자기가 이회사에 필요하다생각하는 이유는"
"358","DB손해보험(주)","성격의 장단점"
"359","DB손해보험(주)","회사의 홈페이지중 가장 기억에 남는 것"
"360","DB손해보험(주)","개개인의 활동 내용"
"361","(주)LG유플러스","특이한 경력사항이 있는데 왜 자사에 지원했는지"
"362","(주)LG유플러스","일이 힘든데 괜찮은지"
"363","(주)LG유플러스","회사를 선택한 이유"
"364","(주)LG유플러스","Ex) 경력사항에 대한 상세한 질문"
"365","(주)LG유플러스","Ex) 엑셀 사용 능력"
"366","(주)LG유플러스","Ex) 근무 가능 기간"
"367","삼성SDI(주)","자기소개해보세요"
"368","삼성SDI(주)","영어로 이야기해보세요"
"369","삼성SDI(주)","어떤 일을 하고싶어요"
"370","삼성SDI(주)","회사를 선택한 이유?"
"371","삼성SDI(주)","스트레스 해소법?"
"372","삼성SDI(주)","기업의 사회적 역할이 무엇?"
"373","한화생명보험(주)","결혼유무"
"374","한화생명보험(주)","왜 나를 불렀을까? 하고 역으로 물어봄"
"375","한화생명보험(주)","만족하는 연봉"
"376","한화생명보험(주)","무슨일을 했는가?"
"377","한화생명보험(주)","연봉은 얼마를 받았었는가?"
"378","한화생명보험(주)","도전정신이 있는가?"
"379","한화생명보험(주)","경력사항"
"380","한화생명보험(주)","강점"
"381","한화생명보험(주)","평균급여"
"382","한국도로공사","지원동기"
"383","한국도로공사","최근 즐거웠던 일"
"384","한국도로공사","자신을 한문장으로 표현하는 좌우명"
"385","엘지이노텍(주)","어디사냐?"
"386","엘지이노텍(주)","교대근무 가능하냐?"
"387","엘지이노텍(주)","기숙사필요하냐??"
"388","엘지이노텍(주)","어학점수 이외에 해외경험 있나?"
"389","엘지이노텍(주)","해외에서 불편했던 점은?"
