"","IT_questions"
"1","가고 싶은 부서가 있나요?"
"2","왜 삼성전자를 지원했나요?"
"3","직장상사가 본인보다 어린 경우, 어떻게 대처할 것인가요?"
"4","디자인 패턴에 대해 아는 대로 말해보라."
"5","왜 삼성이어야 하는가?"
"6","지금 부르면 30분 내로 달려온 친구가 몇 있는가?"
"7","왜 여기에 지원했는가?"
"8","10년 후 손목 터널증후군 환자가 줄어든다. 왜 그런가?"
"9","본인이 원하는 부서가 아니라도 일할 수 있는가?"
"10","와서 어떤 일을 하고 싶은가?"
"11","전공과 결부하여 지원자가 회사에 어떤 기여를 할 수 있는지 말해보시오."
"12","직무 관련하여 얼마나 알고 있는가?"
"13","직장 상사가 부당한 일을 처리하라고 시킨다면 당신은 어떻게 대답할 것인가?"
"14","취업 전 공백기에는 무엇을 했는가?"
"15","10년 후 손목터널증후군 환자가 줄어든다. 왜 그렇다고 생각하는가?"
"16","제품에 하자가 있는 걸 알면서도 물건을 팔아야 하는 상황에 놓인다면 어떻게 할 것인가?"
"17","삼성 핸드폰이 소프트웨어에서 부족한 점이 무엇이라고 생각하는지 구체적으로 말하시오"
"18","소프트웨어관련직종에 종사하는 아는사람이 있는가?"
"19","어떤 스타일의 직원과 일하고 싶으며, 반대로 어떤 스타일의 직원과는 일을 하기 싫은지?"
"20","이 직무를 하는데 있어서 어떤 능력이 가장 중요할 것 같나요?"
"21","자신이 존경하는 인물은 누구인가?"
"22","(인성면접) 자신의 단점은 무엇이고, 단점을 어떻게 극복하셨습니까?"
"23","전공이 지원 분야에 어떻게 도움이 될지 말해보세요."
"24","다른 기업에서 인턴을 했을 때 남들보다 업무를 효과적으로 수행했던 노하우가 있었는가?"
"25","문제를 해결했던 사례 또는 문제해결능력을 보여줄 수 있는 경험에 대해 말해보시오."
"26","C언어가 컴파일되어 실행되는 과정을 설명하라"
"27","지원하게 된 동기는?"
"28","본인의 석사기간 연구 주제는 무엇이었나요?"
"29","수행했던 연구과제가 지원 직무와 어떤 연관이 있나요?"
"30","문제풀이 내용과 관련하여 답변의 근거는 무엇인가요?"
"31","자기소개를 해보세요."
"32","힘든점은 없었나요?"
"33","마지막으로 하고 싶은 말은?"
"34","반도체 전공인데 왜 보안을 지원했나요?"
"35","자신이 기여할 수 있는 부분이 어떤 부분이라고 생각하나요?"
"36","우리 회사에 지원한 이유는?"
"37","무모한 도전을 해본 적 있습니까?"
"38","자기소개서를 보면 좋게말하면 다재다능이지만, 돌려말하면 직무에 연관된 점은 적은데 이건 어떻게 생각하십니까?"
"39","급박한 상황에 대한 대처경험이 있습니까?"
"40","왜 KT에 지원했나요?"
"41","입사 후 포부에 대해서 말해보세요."
"42","OSI 7계층에 대해서 설명해보세요."
"43","서버, 보안 등 네트워크 이외의 지식도 있는가?"
"44","빅데이터에 관해 설명해봐라."
"45","황금주파수가 무엇인가?"
"46","show, olleh, qook이 뭔지 아느냐 설명해봐라."
"47","KT가 앞으로 어떤 미래사업에 투자해야 할지 말해보세요."
"48","KT의 장점과 그렇게 말할 수 있는 근거를 대보세요. 또한 그러한 KT의 장점을 잘 살릴 수 있는 방안에 대해서 말해보세요."
"49","본인이 했던 인턴 경험이 해당 직무와 어떻게 관련이 있는지 말해보시오."
"50","대외 활동 많이 하고 성적이 좋은데, 어떻게 관리했나?"
"51","통신사에 왜 지원했는가?"
"52","자신있는 언어는 무엇인가?"
"53","전공이 KT에 어떤 기여를 할 수 있는지 설명하시오."
"54","최후 변론과 궁금한 점에 대해 말해보시오."
"55","풍력 발전기의 최신 기술을 설명하시오."
"56","해왔던 프로젝트에 대해 설명해보시오."
"57","협업 시 생긴 문제를 해결한 경험이 있는가?"
"58","교환학생을 다녀왔는데, 왜 다녀왔는가?"
"59","미래 KT의 계획에 대한 생각을 말해보시오."
"60","본인의 스트레스 해소법에 대해 말해보시오."
"61","올해 초 주파수 경매가 있었는데, 이에 대해 아는 대로 얘기해봐라."
"62","이 프로젝트를 한 이유는? 거기서 본인이 한 역할은 무엇이며, 무엇을 배웠는가?"
"63","케이티에 대해 구글링해서 나오는 것을 제외하고 알고있는 것"
"64","KT에서 하고 싶은 게 뭡니까?"
"65","KT의 해외 확장 가능성에 대해 말해보시오."
"66","가장 힘들었던 일에 대해 얘기해주세요."
"67","졸업 작품에 대해 설명해주세요."
"68","미래 KT의 계획에 대한 생각은 무엇입니까?"
"69","프로젝트 도중 팀원과 갈등 상황이 생겼을 때의 해결 방법을 말해보세요."
"70","IoT가 다음 세대의 화두가 될 것이라 얘기했는데, 생각해 본 상품이 있나요?"
"71","케이티의 신기술에 대해 아는 것이 있습니까?"
"72","네트워크에서 오류 제어 방식 중 backward 방식과 forward 방식이 있는데, 두 가지에 대해 아는 대로 설명해보세요."
"73","자기소개서에 있는 내용 말고 다른 프로젝트를 하면서 겪었던 어려움이 있나요?"
"74","지원자가 소프트웨어 개발을 좋아하는 것 같은데, KT는 개발과는 거리가 좀 있는 편입니다. 알고 있나요?"
"75","동아리 활동을 하며 어떤 일을 했고, 무엇을 배웠는가?"
"76","학점이 낮은 이유는 무엇인가?"
"77","네트워크 직무에서 가장 필요한 역량은 무엇이라고 생각하나요?"
"78","대학원 과정이 자신의 목표인지 과정인지를 답해보시오"
"79","리눅스 유닉스 로그인 설정파일은?"
"80","셔츠를 왜 다려오지 않았는가?"
"81","유무선 네트워크의 차이점이 무엇인가?"
"82","자바에 대해 설명하시오"
"83","자신의 역량을 KT에 어떻게 기여할 수 있는가"
"84","자신의 역량을 KT에서 활용했을 때 어떤 신사업을 발굴할 수 있는가?"
"85","최근 가장 감명받은 것은?"
"86","코어망과 액세스망이 무엇인가?"
"87","프로젝트 경험이 있는가?"
"88","KT 5대 미래 융합과제를 써놓았는데 뭔지 알고 있는가?"
"89","팀 프로젝트 시에 본인이 맡은 역할은?"
"90","1분 자기소개를 해보세요."
"91","사람들이 나의 팬이 되도록 했던 경험이 있나요?"
"92","마지막으로 포부를 말해보시오."
"93","만약 상사가 부당한 지시를 내린다면 어떻게 행동할 건가요?"
"94","본인의 장점에 대해 말해주세요."
"95","본인이 추구하는 가치관은 무엇입니까?"
"96","이력서에 의하면 보안 관련 회사에서 일했다고 적혀 있는데, 보안에 대해 어떻게 생각하나요?"
"97","전기세와 전기요금의 차이를 알고 있나요?"
"98","컴퓨터공학을 전공했다고 했는데, 최근 보안 관련 이슈에 대해 알고 있는 게 있다면 말해보세요."
"99","한국전력센터 고객센터 전화번호 아는 사람 있나요?"
"100","봉사 활동을 많이 했는데, 특별히 봉사 활동을 많이 하게 된 계기가 있었나요?"
"101","수요 예측의 문제점과 해결 방안에 대해 말해보세요."
"102","네트워크 망 구조의 종류와 특징에 대해 설명해주세요."
"103","데시벨이란 무엇인지 말해주세요."
"104","한국전력공사의 PLC통신 사업에서 자신이 배운 기술을 어떻게 활용할 것인가요?"
"105","OSI 7계층에서 3계층과 4계층이 하는 역할에 대해 설명해보시오."
"106","PLC 통신이란 무엇입니까?"
"107","공개키와 비밀키에 대해 아는 대로 설명하시오"
"108","분석 전문가가 되겠다고 했는데, 분석전문가는 미래가 밝다. 그 많은 곳 중에 굳이 GS리테일에 지원한 진짜 이유는 무엇인가? 생각해온 지원동기 말고 진짜 이유를 말해보라."
"109","IT 지원자인데, 요즘 가장 뜨고 있는 스타트업 기업은 어디라고 생각하는가?"
"110","IT에 관심있어 보이는데, 왜 GS리테일에 지원했는가?"
"111","지방근무 가능한가요?"
"112","자기소개에 ~이거 했다고 적혀있는데, ~이거말고 다른거 한거 없어요?"
"113","아르바이트나 인턴 경험있는지 ? 있다면 거기서 힘들었던 점은 무엇이 있었나요 ?"
"114","인상 깊었던 전공 수업으로 네트워크라고 하셨는데 네트워크에서 OSI 7계층에 대해서 설명해보세요."
"115","프로젝트 경험 중에서 스마트자전거 군집 자율 주행 프로젝트를 하셨는데 이 프로젝트에서 원리가 뭔가요?"
"116","우리 회사에 기여할 수 있는 부분으로 스마트홈 구현이라고 하셨는데 정확히 무슨말인가요?"
"117","재귀함수의 문제점은 무엇인가?"
"118","사람이 함께 등정을 간 친구라고 가정하고, 영화에서 보듯, 벼랑에 세명의 로프가 엮여서 셋 중 한명만 끊으면 나머지 둘이 살 수 있고, 아니면 셋 다 죽어야하는 상황이 되었을때, 어떻게 대처할지 말하라"
"119","회사란 무엇이라고 생각하나요?"
"120","소프트웨어 관련 경험이 있다면 설명해주세요."
"121","전공 프로젝트를 했던 작품에 대해 설명해주세요."
"122","어느 날 1억이 당신에게 주어진다면 어떻게 쓸 것인지 영어로 대답해보세요."
"123","전공 관련 프로젝트에 관해 발표를 해보세요."
"124","최근 가장 짜증날 때가 언제였나요?"
"125","이 프로젝트는 어려워 보이는데 어떤식으로 구현하였나요?"
"126","학교와 집이 많이 먼데, 어떻게 가게 되었나요?"
"127","세 사람이 함께 등정을 간 친구라고 가정하고, 영화에서 보듯, 벼랑에 세명의 로프가 엮여서 셋 중 한명만 끊으면 나머지 둘이 살 수 있고, 아니면 셋 다 죽어야하는 상황이 되었을때, 어떻게 대처할지 말하라"
"128","왜 LG전자에 지원했는가"
"129","팀 과제나 프로젝트를 하면서 어려움이 있었던 경우에 대해 말해보세요."
"130","작고 사소한 경험을 발전시킨 사례에 대해 말해보세요."
"131","이끌어가기 힘든 인원이 있을때 어떻게 하겠는가?"
"132","공백기동안 무엇을 했나요?"
"133","우리 회사에서 하고 싶은 직무가 있습니까?"
"134","친구란 무엇이라고 생각합니까?"
"135","학점이 낮은데 이유가 있습니까?"
"136","기술영업이 뭐라고 생각하십니까?"
"137","디스플레이 패널 공정을 DMAIC 방식으로 품질을 개선한다면 각 단계는 어떤 것이 해당되겠습니까?"
"138","자신이 남보다 진짜 이것만은 잘한다고 생각하는 점은 무엇인가?"
"139","디스플레이에서 소프트웨어가 할 수 있는 것은 무엇인가?"
"140","리테일 테크를 3번에 적었는 데 왜 SDS 에 지원했나요?"
"141","남들이 당신을 어떻게 평가하나요?"
"142","대기업 규제중에 어떤 규제가 있어야 한다고 생각하나요?"
"143","금융권 모바일 시스템 개발을 어떻게 구현할 것인가"
"144","네트워크와 서버 과제 중 서버를 택한 이유는?"
"145","삼성SDS 입사 후 하고 싶은 일은?"
"146","프로젝트 중 의견 충돌이 있을 경우 대처 방안"
"147","java를 어느 정도 수준까지 할 수 있는가"
"148","삼성SDS에 필요한 부분이 무엇인가?"
"149","PT면접 프로젝트 수행 시 특정한 상황에서 툴을 사용할 것인가, 인력을 더 투입할 것인가?"
"150","불합격하게 되면 그 이유는 무엇이라고 생각하는가?"
"151","어느정도 규모의 프로젝트에 참여하였는가, 경력중 대표경력은 무엇이고 어떤성과는 통하여 기여하였는가, 우리의 사업는 형태가 다른데 어떻게 그 갭을 극복할건가 등 압박질문들이 많았내요"
"152","세월호 사태에서 소상공인의 역할로 인해 발생한 경제적 효과는 무엇이라 생각하는가?"
"153","인문계열인데 이 길을 선택한 이유는 무엇인가?"
"154","전체적으로 성적이 좋은데 이 과목은 왜 C 을 받았나요?"
"155","라이브 코딩 문제"
"156","pre test3번은 왜 이렇게 풀었죠?"
"157","pre test 4번은 exception이 안나올까요?"
"158","자기소개해보시오."
"159","지원동기가 무엇인가?"
"160","네이버 서비스에 대해 어떻게 생각하나요?"
"161","성격의 장단점에 대해 말해보세요."
"162","왜 QA가 하고 싶어요?"
"163","데이터 베이스가 무엇이라고 생각하는가?"
"164","학창시절 했었던 프로젝트에 대해 이야기해보시오."
"165","본인이 이용해보면서 네이버 서비스의 개선점을 느낀 것이 있는가?"
"166","성격의 장점과 단점은 무엇인가?"
"167","어려운 일을 극복한 경험을 과정을 중심으로 이야기해보시오."
"168","왜 이 직군을 선택했나요?"
"169","1분 자기소개를 해보세요."
"170","평소에 주변 사람들로부터 어떤 성격이라고 자주 듣습니까?"
"171","LH인턴을 통해 '단순히 현장 경험을 쌓고 싶다' 이렇게 아니라 어떤 목표를 가지고 있으며 어떻게 배워 나갈 것인가?"
"172","지원 직무와 관련하여 가장 최근에 진행한 프로젝트와 어려웠던 점은?"
"173","한국투자증권과 it 직무에 지원한 계기는?"
"174","경영과 컴퓨터 공학을 복수전공한 계기는?"
"175","한국투자증권에 지원한 동기가 무엇입니까"
"176","협업을 한 경험이 있습니까"
"177","직장생활이란 무엇이라고 생각합니까"
"178","삼성전자와 같은 디바이스 시스템 개발 회사와 SK C&C같은 SI 회사와 한국투자증권과 같은 자체적 시스템 개발 회사가 있는데, 왜 한국투자증권을 지원하였는가?"
"179","윷 놀이에서 개가 나올 확률은?"
"180","한국투자증권 말고 다른 기업에도 지원하였는가?"
"181","관심 있는 핀테크 기술에 대해 설명해보시오."
"182","왜 증권사에 지원했는가?"
"183","증권사는 체력이 중요한데, 평소 어떻게 관리하는가?"
"184","은행원이 되기 위해서 언제부터 준비하였고 어떠한 노력을 하였는지 말해보세요"
"185","금융 관련 IT 뉴스를 자주 본다고 했는데 빅데이터에 대해서 설명해보세요."
"186","보안인증방법이 어떤 게 있나요?"
"187","1분간 하고 싶은 말 있으면 하시오."
"188","제시된 3개의 IPTV 서비스 중에 면접관의 상황에 알맞는 서비스를 판매하시요."
"189","팀 대결 협상 면접에서 더 많은 점수를 얻어내시오."
"190","본인이 했던 프로젝트에 대해 설명해 보세요"
"191","프론트엔드 와 백엔드 업무 중 어느것을 더 선호하시나요?"
"192","학창시절 주력으로 사용하던 언어는 무엇이었나요?"
"193","IT직무가 아닌 다른 업무를 맡게되면 어떻게 할 건가요?"
"194","본인이 했던 프로젝트와 겪었던 어려움에 대해 말해보아라."
"195","SSG를 이용해봤다고 했는데, SSG.com의 장단점에 대해서 평가해보세요."
"196","다른 지원자들에 비해 본인의 강점은 무엇인가요?"
"197","다른 지원자들에 비해 본인의 약점은 무엇인가요, 어떻게 극복할 것인가요?"
"198","SQLD나 OCP 같이 DB쪽 자격증을 가지고 있는 데 입사하면 개발을 하고 싶은 건가요?"
"199","마지막으로 하고 싶은 말은?"
"200","마이다스 아이티의 어떤점이 좋나요?"
"201","영업에 대한 경험이 있나요?"
"202","취준생들이 생각하는 마이다스 아이티는?"
"203","아무도 지키지 않는 규칙을 지킬것인가?"
"204","상대방에게 비싼 음식을 사주기로 하고 식당에서 밥을 먹었는데 지갑을 두고왔다. 어떻게 말할것인가?"
"205","퀴즈: 공 옮기기, 무게 맞추기, 사람표정읽기"
"206","마이다스아이티에 지원한 이유는 무엇인가요?"
"207","성적도 좋고 학벌도 좋은데, 왜 중소기업에 지원했나요?"
"208","마지막으로 하고 싶은 말이나 물어보고 싶은 것이 있나?"
"209","어떠한 마케팅을 하고 싶은가?"
"210","우울했던 경험에 대해 구체적으로 말해보시오."
"211","원하는 직무가 아닌 다른 직무가 주어진다면 어떻게 할 것인가?"
"212","지원자의 열정은 잘 알겠다. 그러나 열정이 있는 것과 능력이 있는 것은 다른데, 능력을 키우기 위해서는 어떻게 할 것인가?"
"213","가장 보람있었던 프로젝트는 무엇인가?"
"214","가장 어려웠던 프로젝트는 무엇인가?"
"215","남들과 차별되는 자신의 역량에는 무엇이 있는지 말해보시오."
"216","마이다스아이티 홈페이지가 타 회사 홈페이지와 어떤 차이가 있는지 이야기해보시오."
"217","마이다스아이티를 어떻게 알게 되었는가?"
"218","살면서 업무, 인간관계 등 가장 힘들었던 경험은 무엇이었는가?"
"219","자신의 장단점은 무엇인가?"
"220","지원자가 누구인지 설명해보시오."
"221","지원자는 왜 일을 하는가?"
"222","지원자와 회사의 관계는 어떤 관계인지 설명해보시오."
"223","회사에서 본인이 발전할 수 있는 일이 아니라 단순한 반복적인 일만 시킨다면, 어떻게 할 것인가?"
"224","다른 좋은 소프트업체 안가고 왜 여기로 왔는가?"
"225","우리는 A사이며 핸드폰 판매 실적이 가장 좋은 회사다. 다른 B,C,D사가 치고 올라오는데 우리가 어떻게 하면 이 상황을 극복할 수 있을까? (토론면접)"
"226","자신의 대학교를 자랑해 보세요"
"227","할 줄 아는 프로그램 언어에 대해 말해보아라"
"228","IT직무에 왜 지원했는가?"
"229","해외 오래 나갈 수 있는데 괜찮나요?"
"230","입사 후 하고 싶은 것은?"
"231","인턴에 관한 경험을 말해주세요."
"232","110V가 아니라 220V를 사용하는 이유는?"
"233","왜 전자 공학을 전공하고 플랜트로 왔는지?"
"234","역률이란?"
"235","왜 이 직무를 선택하게 되었나요?"
"236","관심있는 기술은 무엇인가요?"
"237","진행했던 프로젝트에 대해 말해보세요."
"238","최근 직무 관련해서 공부하고 있는점은?"
"239","다른 사람과 함께 일을 할때 중요하게 생각하는점은?"
"240","동아리 활동을 적극적으로 했나요?"
"241","보유하고 있는 skill-set 에는 무엇이 있나요?"
"242","본인의 전공과 강점은 무엇이고 지원한 이유로 자기소개를 해보세요"
"243","본인이 했던 프로젝트에서 맡은 임무가 무엇인지 구체적으로 설명해보세요"
"244","살면서 어려웠던 경험이 있다면 얘기해보세요"
"245","실력을 상,중,하로 평가한다면 무엇을 기준으로 해야한다고 생각하나요?"
"246","원래 활동적으로 사는 편인지, 혹은 본인이 관심있는 분야에 한해서 활동적인 편인지 얘기해보세요"
"247","지원동기가 어떻게 되나요?"
"248","클라우드에 대해 설명해 보세요"
"249","SK C&C는 어떻게 알게되었나요?"
"250","왜 인프라 직무를 선택했나요?"
"251","다른 회사에서 오퍼가 온다면? 또는 이직한다면 이유는?"
"252","개인의 MFE, AutoML 연구 성과 경력을 본 회사의 기술 발전에 어떻게 기여할 것인가?"
"253","영어 강사를 1년 이상 했는데, 이유가 있나요?"
"254","가장 기억에 남는 프로젝트와 프로젝트 수행 중 어려웠던 점은 무엇인가요?"
"255","제시한 대안이 생각보다 비싸게 만들어지면 어떻게 할 것인가요?"
"256","코딩문제를 못 풀었는데 일하다가 이렇게 못 푸는 문제 있으면 어떻게 할 것인가요?"
"257","빅데이터와 스몰데이터의 차이점에 대해 설명해보세요."
"258","(PT 내용에 대해) 실현할 수 있는 기술적인 방안에 대해 말해보세요."
"259","본인은 리더형인가요, 팔로워형인가요?"
"260","만약 입사 이후 원하는 직무를 맡지 못하게 되었을 경우에는 어떻게 하겠나요?"
"261","KT ds에 지원한 이유는? 직무에 지원한 이유는?"
"262","살면서 가장 힘들었던 일은?"
"263","회사에서 기여할 수 있는 점은?"
"264","남들과 협력 하지 않은 경험이 있습니까?"
"265","지원이유는 무엇입니까?"
"266","더 좋은 기업을 갈 수 있을 것 같은데 왜 여기를 선택했나요?"
"267","서울쪽 대학을 나왔는데 왜 여기를 지원했나요?"
"268","시리얼 통신과 LAN 통신에 대하여 설명해보세요."
"269","영어로 부산교통공사에 대해 설명해보세요."
"270","전공과 약간 다른 분야인데, 왜 이곳에 왔나요?"
"271","주량이 센 편인가요?"
"272","청소년 투표권이 저조한 것에 대해 어떻게 생각하나요?"
"273","다룰수 있는 프로그래밍 언어는?"
"274","해외 경험이 있는데 어떤 계기로 가게 되었는가?"
"275","인턴경험이 있었는데 업무시 가장 중요하게 생각되는 부분은?"
"276","영업에 있어 가장 중요한 것이 무엇이라고 생각하는가?"
"277","입사 후 가장 해보고 싶은 업무는?"
"278","영업 직무에 관한 본인의 강점은?"
"279","자기소개를 해보세요."
"280","OSI 7 Layer에 대해서 말해주세요."
"281","신기술에 대해 관심있는것을 말해주세요."
"282","(공통질문)OWASP에 대해서 다들 알고 계실 거 같은데, 이중에서 자신있게 설명할 수 있는 것 한 가지씩만 설명해보세요."
"283","이에 대한 대응 방안은 어떤게 있을까요?"
"284","퍼블릭 클라우드와 프라이빗 클라우드를 알고 있나요?"
"285","전역변수와 지역변수의 차이는?"
"286","본인이 가장 즐겨쓰는 언어는 무엇이며 그 이유는?"
"287","쓰레드 얘기를 했는데 멀티 쓰레드가 한 변수에 접근할 때를 대비해 쓰는 동기화 기법에는 뭐가있는가? 세마포어와 뮤텍스의 차이는?"
"288","세션과 쿠키의 차이점을 설명해보아라."
"289","jsp와 servlet의 차이점을 설명해보아라."
"290","웹 개발할 때 보안에서 유의할 점이 있는지 말해보아라."
"291","블루스크린이 무엇인가? 왜 생기며, 어떻게 해결하나?"
"292","안랩에서 당신을 뽑아야 하는 이유를 말해보시오."
"293","JAVA와 C#의 차이는 무엇인가?"
"294","QA가 뭐라고 생각하나?"
"295","네트워크 계층에 대한 개념을 말해보시오."
"296","1분 스피치를 해보시오."
"297","구글 지도 반출에 대한 지원자의 견해를 말해보시오."
"298","웹쉘을 사용해 본 사람이 있는가?"
"299","자기소개해보시오."
"300","지원자가 생각하는 지원자의 인생 멘토는 누구인가?"
"301","직무에 대해 아는 대로 말해보시오."
"302","직무에서 쓰이는 장비에 대해 말해보시오."
"303","직무에서의 자신의 강점은 무엇인가?"
"304","취득한 자격증에 대해 구체적으로 설명해보시오."
"305","OSI 7계층 중 2, 3, 4 계층의 대표 장비를 말해보시오."
"306","10년 후 지원자의 목표는 무엇인가?"
"307","30초 동안 자기소개해보시오."
"308","다른 직무로 이동하더라도 근무가 가능하겠는가?"
"309","보안 프로젝트 경험에서 사용한 프로토콜에 대해 말해보시오."
"310","웹 보안에서 중요한 것이 무엇이라 생각하는가?"
"311","최근 보안 사건 이슈에 대해 말해보시오."
"312","포트폴리오 주제를 어떻게 선정하였는가?"
"313","학교에서 어떤 활동을 하였는가?"
"314","HTTP와 HTTPS의 차이는 무엇인가?"
"315","IDS와 IPS의 차이는 무엇인가?"
"316","랜섬웨어는 알고 있는가?"
"317","보안에서 가장 중요하게 생각하는 부분이 무엇인가?"
"318","스미싱과 피싱에 대해 말해보시오."
"319","웹해킹의 기법들과 랜섬웨어 설명하고, 웹해킹과 랜섬웨어에 대한 예방법 또는 조치방법에 대해 설명해보시오."
"320","윈도우 시작프로그램 관리 명령어를 말해보시오."
"321","자기소개와 지원동기를 함께 말해보시오."
"322","지원동기"
"323","지원자의 포트폴리오에 나와 있는 악성코드 분석, DLL 인젝션, PE 구조 등에 대해 상세히 말해보시오."
"324","지원한 직무가 아니고 다른 직무에 배치되어도 상관없나?"
"325","파워포인트를 사용하려고 하는데 파일 실행이 안됩니다. 왜 그런지 보안과 관련해서 말해주세요."
"326","패킷추적 명령어를 말해보시오."
"327","현재 면접관의 컴퓨터가 ping은 안 가는데 naver는 접속이 된다. 왜 그런가?"
"328","ARP Spoofing에 대해 설명해보시오."
"329","DoS 공격중에서 LAND Attack에 대해 설명해주세요."
"330","IDS, IPS에 대해 설명하고, 그 차이점에 대해 설명하시오."
"331","Op와 관제의 차이점은 무엇인가?"
"332","OSI7계층에 대해 말해보시오."
"333","OWASP TOP 10에서 XSS, CSRF 내용과 차이점에 대해 말해보시오."
"334","OWASP TOP10에 대해 하나씩만 말하고, 각각 대처방안까지 말해보시오."
"335","안랩의 문제점이 무엇이라고 생각하나요?"
"336","얼마나 절실한가?"
"337","이 프로젝트를 왜 선택했는가?"
"338","따로 메모리 관리를 위해 무엇을 했는가?"
"339","크로스브라우저가 무엇인가?"
"340","프로젝트를 진행할 때 가베지 컬렉션을 어떻게 하였는가?"
"341","회사 홈페이지에서 소스보기를 해보았는가? 어땠는가?"
"342","유동인구, 사용시간, 근무외 시간 등을 활용하여 20층 건물의 엘리베이터를 운영하는 방법예 대해 말해보시오."
"343","자신이 개혁적으로 한 행동을 말해보시오."
"344","부당행위를 하는 상사에게 어떻게 대처할 건가요?"
"345","물류전공자인데 왜 영업 직무를 지원했나?"
"346","인재상이 뭔지 아나?"
"347","회사의 주력 제품이 뭔지 아는가?"
"348","전자가 무엇인가"
"349","창의성면접질문: 인류가 발명한 가장 창의적인 물건은 무엇인가? 이유는?"
"350","N:1토론면접질문: 국민들은 삼겹살과 소주 & 치킨과 맥주 중 어느 것을 더 좋아할까?"
"351","N:1토론면접질문: 더치페이 문화와 코리안페이 문화 중 어느 것이 바람직하다고 생각하는가?"
"352","세종대왕과 이순신 장군 중 누구를 더 존경하는가?"
"353","IT 직무인데 왜 일반 기업에 안 가고 은행에 지원했는가?"
"354","다른 은행에 지원한 적이 있나요?"
"355","삼성카드의 사업영역에 대해 말해보아라."
"356","또 다른 키워드를 제시해보시오."
"357","자기 자신을 키워드로 표현해보시오."
"358","해당 직무를 선택한 이유가 무엇입니까?"
"359","자기소개"
"360","지원동기"
"361","학교다니면서 가장 후회되는 것은 무엇이었나?"
"362","Industry 4.0과 3.0의 차이는 무엇인가?"
"363","마지막으로 하고 싶은 말은 무엇인가?"
"364","가상함수가 무엇인지 설명해봐라."
"365","가장 재미있게 했었던 게임이나 혹은 최근에 플레이해 본 게임의 재미요소를 분석하고, 해당 게임의 문제점 도출과 해결방안을 제시한 후, 추천해주고 싶은 유저층에 대해 말해보시오."
"366","내적, 외적이 무엇인가?"
"367","동기화 객체 3가지를 말해보시오."
"368","동적할당이 무엇인지 설명해봐라."
"369","맵과 해쉬맵의 시간복잡도가 어떻게 되는가?"
"370","멀티스레드 환경에서 문제되는 것들을 설명해봐라."
"371","멀티쓰레딩 혹은 멀티프로세스를 할 때 스케쥴링 기법에 대해 설명하시오."
"372","메모리 단편화란 무엇인가?"
"373","뮤택스, 세마포어를 언급했는데, 둘의 차이점이 무엇인지 설명해봐라."
"374","별명은 무엇인가?"
"375","본인의 장단점은 무엇인가?"
"376","본인이 진행한 프로젝트에 대해서 설명해봐라."
"377","스태틱 캐스트와 다이나믹 캐스트에 대해 설명해봐라."
"378","스택 2개로 큐 구현이 가능한가? 그럼 시간복잡도는 어떻게 되는가?"
"379","어떤 직원이 되고 싶은가?"
"380","오버로딩과 오버라이딩의 차이점은 무엇인가?"
"381","자신을 사물에 비유한다면?"
"382","잘하는 것은 무엇인가?"
"383","좋아하는 티비 프로그램은 무엇인가?"
"384","준비해온 질문이 있을 텐데, 자문자답해봐라."
"385","지금까지 어떤 걸 공부해왔는지 본인의 경험같은 걸 예로 들어 구체적으로 말해봐라"
"386","최근 1년 사이에 가장 임팩트 있었던 게임이 무엇인지 말해보시오."
"387","최근 읽은 책은 무엇인가?"
"388","취미는 무엇인가?"
"389","퀵소트에 대해 설명해봐라"
"390","팀원과의 마찰이 있을 때 어떻게 대처할 것인가?"
"391","페이스북 친구는 몇 명인가?"
"392","해당 전공을 전공한 이유는 무엇인가?"
"393","해쉬맵과 맵의 차이가 무엇인가?"
"394","해쉬맵에서 인덱스가 문자열일 경우는?"
