"","IT_questions"
"814","10년후 보안기술의 동향 및 자신의 모습은 어떻게 예상하십니까?"
"815","10년후 보안기술의 동향 및 자신의 모습은 어떻게 예상하십니까?"
"816","전산 관련 프로젝트나 일한 경험이 있는가?"
"817","남자친구가 있는가? 야근을 많이 하는데 괜찮은가?"
"818","성적이 왜 이 정도지?"
"819","외국에 다녀왔는데 영어점수가 왜 이렇게 낮지?"
"820","취업 원서는 몇 개 썼는가? 요새 취업이 어렵다는데 얼마나 어려운가?"
"821","프로젝트 관련 맡은 부분"
"822","사업부가 어떤 것을 하는지 알고 있는가?"
"823","경쟁사는 어떤 회사가 있는지?"
"824","HVAC가 무엇인지 아는가?"
"825","DNS에 대하여 설명해보라."
"826","RAID를 알고있는가? 0과 1 그리고 1+0은 뭘까?"
"827","골든벨 몇번에서 탈락?"
"828","대학 시절 가장 힘들었던 점은 무엇이었나요?"
"829","학업 이외에 힘들었던 점은 무엇이었나요?"
"830","여기 외에 다른 곳에도 지원을 했나요?"
"831","(어떠한 경험에서) 본인은 왜 그렇게 행동했는가?"
"832","롯데닷컴 IT 직무에 왜 지원했나?"
"833","지원동기는 무엇인가?"
"834","프로젝트는 어떤 걸 경험했는가?"
"835","SK텔레콤의 무선 통신 주파수 대역에 대해서 이야기 해보시오."
"836","WCDMA란 무엇인가?"
"837","교대 근무를 해야하는데 할 수 있겠는가?"
"838","네트웍오앤에스가 앞으로 미래에 어떻게 했으면 좋을지 이야기해보아라."
"839","네트웍오앤에스의 비전 2020에 대해 알고 있는가?"
"840","네트웍오앤에스의 인재상에 대해 알고 있는가?"
"841","네트원오앤에스가 어떤 회사인지 알고 있는가?"
"842","상사와 의견이 맞지 않으면 어떻게 할 것인가?"
"843","스트레스 극복 방법은 무엇인가?"
"844","이동통신의 발달 과정에 대해 알고 있는가?"
"845","입사 후 포부와 목표, 계획을 말해보시오."
"846","제일 하위계층에서 어떤 프로토콜을 쓰는가?"
"847","제주도를 가야 하는데, 배와 비행기가 없다면 당신은 어떻게 갈 것인가?"
"848","지원동기에 대해 말해보시오."
"849","지원한 직무에서 어떤 일을 하는지 아는가?"
"850","PCM에 대해 말해보시오."
"851","공대생이 상사에 지원한 이유는 무엇인가?"
"852","방금 했던 답변을 영어로 해 보아라."
"853","1분 자기소개해보시오."
"854","실패한 경험이 있는가?"
"855","고려제약 홈페이지 도메인 주소는 무엇인가?"
"856","디도스란 무엇인가?"
"857","본인이 가진 장점은 무엇인가?"
"858","본인이 업무 하는데 있어 다른 사람보다 더 적합하다고 생각하는 이유는?"
"859","업무와 본인의 적성이 맞는 것 같은가?"
"860","여가시간에는 무엇을 하며 보내는가?"
"861","지원한 동기는?"
"862","최근에 이슈가 되고 있는 반크에 대해서 설명해보세요"
"863","Json과 xml을 엄마 아빠에게 설명해봐라"
"864","(코드 리뷰 할 때) 왜 메소드 구조를 그렇게 작성했나요?"
"865","ABCD의 알파벳 문자열을 압축하는 알고리즘이 뭐가 있을까요?"
"866","커뮤니케이션 문제를 겪은 적이 있는가?"
"867","프로젝트 진행 당시 중점을 뒀던 부분은 무엇인가?"
"868","PT과제의 내용에 대한 본인의 생각을 그렇게 작성한 이유는 무엇인가?"
"869","신기술 IT를 한국공항공사에 도입해서 할 수 있을 만한 것을 제시해보세요"
"870","한국공항공사를 젊은 층에게 홍보할 방법은 무엇이 있을까요?"
"871","한국공항공사에서 전산시스템의 역할은 무엇이라고 생각하며 본인의 역량을 통해 전산 시스템에 어떤 기여를 할 수 있나요?"
"872","한국공항공사가 해야할 일은 무엇인가요?"
"873","한국공항공사에서 교대 근무를 잘 할 수 있나요?"
"874","한국공항공사에서 새로운 서비스가 개발될 수 있다면 무엇인지 창의적으로 대답해보세요."
"875","한국공항공사의 보안은 어떤 것 같나요? 발전시키려면 어떻게 해야 할까요?"
"876","환경단체와의 갈등에 대한 해결책을 말해보세요."
"877","공모전 출품 내용에 대해 자세히 설명해봐라."
"878","면접자가 VC 라고 가정할 때 현재 시장에 출시된 다양한 간편 결제 서비스 중 2가지에 투자를 한다면 어떤 곳에 투자를 할 것이며, 그 이유는 무엇인가?"
"879","스타트업을 운영하면서 제품 홍보는 어떻게 했는가?"
"880","스타트업을 하게 된 계기는 무엇인가?"
"881","현대카드에서 새롭게 런칭한 페이샷 서비스를 첫 결제 시 할인으로 프로모션하려고 한다. 주어진 금액을 할인해주었을 때, 주어진 기간 동안 총 몇 명의 사용자가 유입되어야 손익분기를 넘는가?"
"882","IT에 대해 아는 것을 다 말해 보아라."
"883","본인에게 부당한 지시를 내렸을 때 어떻게 할 것인가?"
"884","본인이 전파진흥원에 적합하다고 생각하는 이유는 무엇인가?"
"885","우리 회사는 전문가들과 업무를 많이 하는데, 어떻게 대처할 것인가?"
"886","인턴을 한 경력이 있던데 왜 거기서는 정규사원으로 입사하지 않았나?"
"887","OOOO의 APP을 보고 좋다고 했는데 어느 부분에서 그런점을 느꼈나?"
"888","요즘 직장내 성희롱이 문제가 되고 있는데 어떻게 생각하나?"
"889","인턴을 한 경력이 있던데 왜 거기서는 정규사원으로 입사하지 않았나?"
"890","OOOO의 APP을 보고 좋다고 했는데 어느 부분에서 그런점을 느꼈나?"
"891","요즘 직장내 성희롱이 문제가 되고 있는데 어떻게 생각하나?"
"892","타 기업인턴을 하며 어떤 업무를 했는지"
"893","어떤 게임을 즐겨하는지"
"894","어떤 일이 가장 중요하다고 생각하는지"
"895","C 가상테이블은 메모리상에 동적 으로 할당이되는가요? 아니면 정적으로? 그렇다면 이유는?"
"896","데이터 웨어하우스는 무엇인가?"
"897","스티브 잡스에게 본받을 점은 무엇인가?"
"898","온라인 처리와 배치 처리의 차이점은?"
"899","DBA가 하는 일이 무엇인가?"
"900","DNS장비 써본 것 있는가?"
"901","목표가 무엇인가요?"
"902","일하고 싶은 분야는 어디인가요?"
"903","학교에서 배운 언어에 대해서 설명해주세요."
"904","최근에 진행했던 프로젝트에 대해서 설명해주세요."
"905","학교의 전공에 대해서 설명해주세요."
"906","가장 자신있는 언어는 무엇인가요??"
"907","OS scheduling가 무엇인지 알고 있나요?"
"908","논문을 많이 썼는데, 다른 석사들도 논문을 이렇게 많이 작성하는가?"
"909","연구한 분야를 한화테크윈에서 어떻게 사용할 수 있을 것 같은가? 어떻게 시너지를 창출할 수 있을 것인가?"
"910","지원자가 채용 담당자면 누구를 뽑겠는가?"
"911","지원자가 한 연구가 왜 필요하다고 생각하는가? 해당 연구가 지원한 직무와 어떤 관련성이 있는지, 또 어떻게 사용할 수 있는지 말해보시오."
"912","지원자는 어떤 개발자가 되고 싶은가?"
"913","지원자의 좌우명은 무엇인가?"
"914","해외 학회에 발표하러 가봤는가?"
"915","어른과 아이의 차이점에 대해 생각을 말해주세요."
"916","대학원 때 빅데이터에 대해 연구해보았습니까."
"917","개인적으로 가장 힘들었던 경험이 무엇인가요."
"918","이곳이 아니면 일할데가 없는가?"
"919","3분동안 자기소개를 하세요"
"920","본인이 운영일 맡고있는 담당자 일때 무엇을 가장 중요하게 생각하는가?"
"921","어떠한 언어를 사용했는가?"
"922","저축은행 피해고객에 대한 특별법 개정에 대해 찬반토론하세요"
"923","it 직군에 자신이 적합하다고 생각하는가?"
"924","it기획과 ERP 또는 개발 중 어떤것이 본인에게 어울린다고 생각하는가?"
"925","it전문기업이 아닌 금융계의 it직군은 지원한 이유는?"
"926","java arraylist와 linkedlist차이점"
"927","어떻게 IT쪽으로 진로를 정하게 되었는지"
"928","pg에 대해 알고있는지"
"929","본인의 성격를 말해보세요"
"930","학교 생활을 어떻게 했는가?"
"931","리더십을 발휘했던 경험에 대해 이야기해보시오."
"932","마지막으로 할 말이 있으면 해보시오."
"933","살면서 힘들었던 경험에 대해 이야기해보시오."
"934","성공했던 경험에 대해 이야기해보시오."
"935","실패했던 경험에 대해 이야기해보시오."
"936","쓸 수 있는 언어로는 무엇이 있는가?"
"937","직장인으로서의 목표는 무엇인가?"
"938","프로젝트 경험에 대해 이야기해보시오."
"939","plc란 무엇인가요?"
"940","본인의 장점에 대해 얘기해봐라."
"941","빅데이터 전공에 대해 설명해봐라."
"942","빅데이터 전공이라고 했는데, 혹시 보안 쪽으로 뽑히게 되면 일할 생각이 있는가?"
"943","존경하거나 비판하고 싶은 역사 속 인물이 있으면 자유롭게 얘기해봐라."
"944","지원하게 된 동기는 무엇인가?"
"945","가장 효율적인 알고리즘과 비효율적인 알고리즘은?"
"946","본인이 생각하는 Smartwork란?"
"947","가장 최근 관심갖고 있는 IT트렌드는?"
"948","가장 최근에 읽은 책 중 인상 깊은 것 추천해 보시오"
"949","당신은 창의적입니까?"
"950","리더가 있는데 한 사람은 일을 엄청나게 잘 하지만 인간관계가 안 좋은 상사, 다른 사람은 일은 못하지만 인간관계가 좋은 사람, 당신은 누구와 일하고 싶은가?"
"951","스트레스는 어떻게 푸나요?"
"952","안드로이드, iOS를 비교 설명해 보시오"
"953","어떤 사업에 참여하고 싶으세요?"
"954","우리 사장님 이름이 뭔지 아세요?"
"955","우리의 경쟁상대는 어디라고 생각하세요?"
"956","자신이 가장 자신있는 프로그래밍 언어는?"
"957","자신이 진행한 프로젝트 하나 설명해보시오"
"958","주제: 현재 우리 기업은 교육시스템을 개발하려고 한다. 하지만 전체를 개발을 하기엔 부담스러워 아웃소싱을 하려한다. 6개의 기업이 있으니 장점, 단점을 분석한뒤 하나씩 선택하여 팀원들을 설득하고 한 기업을 최종적으로 정하시오."
"959","취미가 뭐예요?"
"960","포항으로 발령 나면 어떻게 할 건가요?"
"961","MDA를 안다고 했는데 SOA도 알고 있는지?"
"962","인턴경험이 있는데 정규직 전환이 되지 않은 이유는 무엇입니까?"
"963","자신의 단점에대해서 얘기해보세요."
"964","진행했던 프로젝트에 대해 설명해주십시요."
"965","SK엔카와 엔카닷컴의 차이점을 아는가?"
"966","프레임웍과 라이브러리의 차이점은?"
"967","프레임웍에 대한 설명을 해보시오."
"968","지원하는 기업 선택기준은?"
"969","이전 직장 퇴사 이유는?"
"970","회사에 기대하는 바가 있다면 무엇인가요?"
"971","일을 하면서 본인전공을 접목 할 수 있는 분야를 말해주세요."
"972","SBS에 입사 하기 위해 어떠한 노력을 하였나요?"
"973","무단횡단을 한 적 있나요?"
"974","컨닝을 해본 적 있나요?"
"975","정렬을 구현 소스중에 특정 변수를 사용한 이유"
"976","정렬중에 버블정렬을 사용하여 문제를 푼 이유"
"977","회사에 대해궁금 한것이 있는지?어떻게 지원하게 되었는지?"
"978","바이너리 탐색 알고리즘에 대해 설명해보세요"
"979","이력서에 기재된 프로젝트에 대해 본인이 맡은 역할과 사용한 기술 등을 포함해서 구체적으로 설명해주세요"
"980","Big O notation으로 알고리즘의 성능을 측정하고 성능 향상을 위해서는 어느 부분을 개량해야 하는지 말해보아라."
"981","객체지향이 뭔지, 지금 4세대 언어가 널리 퍼진 이유가 뭔지 말해보시오."
"982","이력서를 중심으로 해서 자신이 진행했던 프로젝트에 대해서 화이트보드에 UML로 작성하고 이를 설명하시오."
"983","공인인증서에 대한 의견은?"
"984","버스에 농구공이 몇 개 들어갈까?"
"985","최근 가장 열받았던 경험은?"
"986","기술을 공부할 때 어떤식으로 공부하나요?"
"987","프로세스와 스레드의 차이를 설명해보세요,"
"988","왜 CONTEXT SWITCHING 작업이 오래걸리나요?"
"989","기술을 공부할 때 어떤식으로 공부하나요?"
"990","프로세스와 스레드의 차이는?"
"991","왜 CONTEXT SWITCHING 작업이 오래걸리나요?"
"992","n명 참가 토너먼트 경기에서 총 몇번의 경기를 해야하는지, 우승하려면 몇판이겨야 하는지 공식을 구해보세요."
"993","러시안 룰렛6칸의 총 구멍에서 연속해서 2발의 총알을 장전했다. 상대편이 먼저 1판을 시도하여 생존했을때, 내가 생존하려면 바로 게임을 시도하는것이 유리한가, 총알을 회전시켜 무작위로 바꾸는것이 생존에 유리한가?"
"994","퀵정렬의 시간복잡도는 어떤지 설명해 보세요."
"995","100!의 끝자리에 0은 몇개나오는가?"
"996","12명의 사람이 전부 악수하는 경우의수는 몇가지인가?"
"997","그릇2개에 흰공 50개,빨간공50개를 마음대로 넣고 랜덤으로 그릇을 골라 공을 뽑았을때 흰공이 뽑힐 활률이 가장 큰 최적비율은?"
"998","딥러닝으로 뭔가를 분류해주는 플랫폼을 만들건데 서비스할때 여러사람들이 그 플랫폼에 접근해서 이용하는 구조로 만들려면 어떻게 서비스 해야되나요?"
"999","자바 string과 string builder 그리고 string buffer차이점을 말해보세요."
"1000","두사람이 손가락을 이용해서 표현할수 있는 숫자의 경우의수는?"
"1001","인트라넷 경험이 있으시네요?"
"1002","정렬을 손으로 코딩해보세요"
"1003","스프링의 aop와 ioc에 대해 설명해주세요"
"1004","HTTP의 Keep/Alive에 대해 설명하세요"
"1005","REST에 대해 설명하세요"
"1006","프로젝트를 진행해야 하는데 성능 감소를 최소화 하기 위해선 어떻게 설계할 것인가?"
"1007","선배와 후배 중 더 일하기 편한 그룹은?"
"1008","10000원을 실제로 표시할 때는 10,000원으로 ,을 넣어 구분하는데 그 것을 출력하는 로직 만들기"
"1009","10년뒤에 사용될 서비스 기획"
"1010","다른 곳에도 있는 서비스 아닌가?"
"1011","서비스 타깃의 폭이 좁지 않은가?"
"1012","최소비용 신장트리를 구하는 방법은?"
"1013","C언어의 프로세스 공간에 대해 설명하시오"
"1014","네이버의 상황을 SWOT툴을 사용하여 분석해보시오"
"1015","자신의 어떤 점이 이 직무에 도움이 될 것이라 생각하는가"
"1016","지원동기"
"1017","기획에서 내려온 내용이 맘에 들지 않는다면 개발자의 입장에서 어떻게 처리할 것인가?"
"1018","네이버에서 가장 불편하다고 느끼던 서비스가 무엇이며 그 이유는 무엇인가?"
"1019","100! = 100 * 99 * ... * 2 * 1 = xx…x00..0 = xx…x * 10^n 이 때 n의 값은?"
"1020","지원직종에 해당하는 서비스 개선안 제시"
"1021","직전회사를 그만두고 네이버를 지원한 이유는?"
"1022","회사를 선택하는 기준이 무엇인가요?"
"1023","현재 직장에서 겪고 있는 어려움은 무엇인가요?"
"1024","입사 후 어떻게 적응하겠나요?"
"1025","자신의 장점은 무엇인가요?"
"1026","프로젝트 경험이 있다면 말해보세요."
"1027","입사 후 회사에 어떻게 적응해 나갈것인가요?"
"1028","ERP가 무었인지 아는대로 답하시오"
"1029","1분자기소개"
"1030","마지막으로 하고싶은 말"
"1031","주52시간 제도에대해 어떻게 생각하나요?"
"1032","워라벨은 안중요한가요?"
"1033","근무시간 내에 일을 한다면 주52시간제는 지켜질 수 있을 것 같은데 왜 일을 다 못하는 것 같나요?"
"1034","현장에서 일하면 거기 나이 많으신 분들이 본인의 의견을 잘 안들을 텐데, 어떻게 할건가요?"
"1035","외국인과 의사소통이 가능한가요?"
"1036","기획 업무가 뭐라고 생각하나요?"
"1037","해당 직무에 어떻게 관심을 갖게 되었나요?"
"1038","최근 일어난 사고 00화재 에 대해서 말해주세요."
"1039","00은 무엇인지 키워드로 표현하세요."
"1040","마지막 할말은 무엇인가요?"
"1041","트렌드란 무엇이라고 생각하는가?"
"1042","가족관계를 포함해서 자기소개를 해보세요"
"1043","다룰 수 있는 언어나 프로젝트 경험이 있는가?"
"1044","마지막으로 하고 싶은 말을 해보세요"
"1045","자기소개를 해보세요"
"1046","지금 다니고 있는 회사를 그만두려는 이유는 무엇인가?"
"1047","ERP를 바라보는 IT인의 생각은 어떠한가?"
"1048","IT가 대우받지 못하고 있는데 그 이유가 무엇이라 생각하는가?"
"1049","사내에서 가장 이상적인 동료는 어떤 사람이라고 생각하시나요?"
"1050","회사를 다니는 이유는?"
"1051","지원동기를 말해보세요."
"1052","(영어 질문) 존경하는 인물이 누구인가요?"
"1053","영업을 해야 하는데, 술은 어느 정도 마시나요?"
"1054","클라우드에 왜 관심을 갖게 되었나요?"
"1055","해당 직군을 지원하게 된 이유는?"
"1056","DoS와 DDoS의 차이?"
"1057","Blind SQL Injection이란?"
"1058","다룰 수 있는 프로그램으로는 무엇이 있는가?"
"1059","스위치, 라우터, 허브에 대해 설명해보시오."
"1060","이 직무와 본인의 역량이 어떠한 관련이 있나요?"
"1061","화통법이 무엇인지 말해보세요."
"1062","1명빼고 울산에서 먼 지역에서 오셨는데, 적응을 어떻게 할 것인지 ?"
"1063","성격의 장단점에 대해 말해보세요."
"1064","인턴으로 활동한 경험이 있네요?"
"1065","1분 자기소개를 하세요."
"1066","다른 면접본 곳은 어떠한지 이야기해보세요."
"1067","당신의 특기와 취미는 무엇입니까?"
"1068","대학 시절 가장 재미있었던 과목은 무엇입니까?"
"1069","별풍선 제도에 대해 어떻게 생각합니까?"
"1070","아프리카TV에 와서 당신이 기여할 수 있는 점은 무엇입니까?"
"1071","아프리카TV에 입사지원한 이유는 무엇입니까?"
"1072","엔지니어가 왜 되고 싶은 것입니까?"
"1073","인턴하면서 맡은 업무는 무엇입니까?"
"1074","인턴하면서 배운 점은 무엇입니까?"
"1075","자기소개에서 적혀 있는, 해당 프로젝트를 진행한 이유가 무엇입니까?"
"1076","프로젝트를 수행하면서 가장 어려웠던 점은 무엇입니까? 그리고 그 점을 어떻게 해결하였습니까?"
"1077","프로젝트에서 어떤 일을 맡아 하였습니까?"
"1078","리눅스를 설치 해보았습니까?"
"1079","설치를 하고 서버구축을 했는데 문제가 발생할 때 어떻게 해결합니까?"
"1080","회사를 퇴사한 이유를 말씀해주세요."
"1081","학교다니면서 배웠던 과목중에 어떤것이 기억에 남는가."
"1082","피피티를 준비하면서 어려웠던 점은 있는가."
"1083","이 회사에 지원한 가장 큰 계기는 무엇인가."
"1084","배운 것을 어떻게 업무에 적용할 것인가?"
"1085","스트레스를 어떻게 푸는가?"
"1086","지원자의 인간관계는 어떠한가?"
"1087","프로젝트 수행 시 어려운 점은 없었는가?"
"1088","회사에서 하기 싫은 일을 시키면 어떻게 할 것인가?"
"1089","SW에서 무슨 일을 할 것 같은가?"
"1090","특정 과목의 성적이 낮은 이유는 무엇인가?"
"1091","뭐 타고 왔는가?"
"1092","지원자의 공백기간에 대해 설명해보시오."
"1093","지원한 분야에 특별히 관심을 가지게 된 이유가 있는가?"
"1094","공백 기간에 무엇을 했는지 설명해달라."
"1095","면접장까지 뭐 타고 왔는가?"
"1096","본인이 학교에서 배운 것을 직무에 어떻게 적용할 것인가?"
"1097","스트레스 관리는 어떻게 하는가?"
"1098","지원한 분야에 특별히 관심을 가지게 된 이유가 무엇인가?"
"1099","특정 과목이 성적이 낮은데, 그 이유는 무엇인가?"
"1100","회사에서 하기 싫은 일을 시키면 어떻게 할 것인가?"
"1101","SW에서 무슨 일을 한 것 같은가?"
"1102","본인의 실무 경험, 경력에 대한 내용에서 과연 실제로 능력이 있다고 생각하는가?"
"1103","떠오르는 단어를 가지고 자신의 의견을 표현해 보시오."
"1104","어떤 직무를 수행할 수 있는가?"
"1105","연구한 내용을 적용하여 어떤 새로운 제품을 개발 할 수 있겠는가?"
"1106","왜 넥스원에 지원하였는가?"
"1107","현재 정부의 정책에 대해 떠오르는 단어는 무엇인가?"
"1108","자신이 가장 자신 있는 SW 툴을 말해보시오"
"1109","남들이 생각하는 본인의 장단점은?"
"1110","업무 중 하고 싶은 것이 있나요?"
"1111","다른 직무를 맡는다면 어떤 직무에 관심이 있나요?"
"1112","IT 개발 경험 소개 및 어떤 역할을 했는지?"
"1113","자기 계발 계획에 대해 말해보세요."
"1114","대한적십자사란 뭐라고 생각하는지?"
"1115","클라우드의 장점에 대해서 말해보세요."
"1116","이전 경험들에서 네트워크도 구축했나요?"
"1117","마지막으로 하고 싶은말은?"
"1118","프로젝트를 같이 했던 팀원의 역할을 말씀해주세요."
"1119","지원자가 프로젝트에서 맡은 역할을 말씀해주세요."
"1120","휴학을 한 이유는 무엇인가?"
"1121","지금까지 해온 프로젝트를 자세하게 말해보아라."
"1122","본인이 살면서 가장 창피했던 경험은 무엇인가요?"
"1123","지금까지 해 온 프로젝트를 자세하게 설명해보십시오."
"1124","Java와 c언어의 차이점은 무엇인가요?"
"1125","그동안 했던 프로젝트들을 모두 설명해보세요."
"1126","어떤 동아리 활동을 했나요?"
"1127","인턴 생활을 한 회사에 대해 자세히 설명해주세요."
"1128","질문을 많이 하는 성격이라고 했는데, 무엇 때문에 그러한가요?"
"1129","컴퓨터 코딩에 관련된 경험이 있으면 얘기해보세요."
"1130","본인의 학교, 학과에 장점이 있다면 무엇이라고 생각하나요?"
"1131","소프트웨어 공학이란 무엇이라고 생각하나요?"
"1132","원하는 직무와 그 이유에 대해 말해보시오."
"1133","최근에 재밌게 본 영화와 느낀 점을 말해보시오."
"1134","학교에 다니면서 집중했던 활동과 그것이 어떤 도움이 되었는지 말해보시오."
"1135","왜 우리회사에 지원을 하였나요?"
"1136","해외현장 나갈 수 있나요?"
"1137","힘들었던 경험(실패 경험)에 대해 말해보세요."
"1138","알파사이츠에 대해 아는 것. 뭘 하는 곳인지 알고있나요?"
"1139","Who are the main clients of AlphaSights?"
"1140","해당 직무(클라이언트 서비스 팀)에 대해 말해보세요."
"1141","신규 미디어와 기존 미디어의 결합 방향에 대해 자신의 생각을 설명해 보시오."
"1142","RIP과 OSPF의 차이점은 무엇인가요?"
"1143","Redistribute 쓰는 이유와 종류에 대해 설명해보세요."
"1144","ARP란(프로토콜) 무엇인지 설명해보세요."
"1145","나가기 전에 하고 싶은 말, 여기서 말 못하고 나가면 후회할 것 같은 이야기들 있잖아요. 한번 얘기해보세요."
"1146","졸업 작품으로 NODE JS를 선택했는데, 왜 이 방식을 채택했으며, 이 방식이 무엇인지, 그리고 장점과 단점에 대해 이야기해보세요."
"1147","컴퓨터공학을 선택하게 된 계기와 전공을 공부하며 가장 뿌듯했던 때는 언제인지 얘기해보세요."
"1148","조직 내 갈등 해결 경험이 있나요? 있다면 말해보세요"
"1149","최근 읽은 책이 무엇인가요?"
"1150","산안법 지식을 쌓고 있다고 했는데 어떤식으로 노력했나요?"
"1151","산안법 개정사항에 대해서 본인은 어떻게 생각하나요?"
"1152","근로자와 트러블이 생길때 어떻게 대처할 건가요?"
"1153","int와 char의 차이를 말해보아라."
"1154","비전공자인데 잘 할 수 있겠는가?"
"1155","오늘 1면 기사가 무엇인가?"
"1156","자격증이 없는데 왜 없는가?"
"1157","자기소개를 해보라"
"1158","가장 자신있는 언어는?"
"1159","국내 대기업 인턴과 외국 인턴의 차이점을 말해보세요"
"1160","비전공자인데 잘할수 있는가?"
"1161","우리투자증권 홈페이지를 들어와 본적이 있는가?"
"1162","이 자격증은 왜 취득했는가?"
"1163","이력서에 왜 토익 점수가 없는 이유는?"
"1164","자기소개와 지원동기를 말해보세요"
"1165","증권사 업무에 대해 말해보세요"
"1166","취업준비를 오래 한 것 같은데 왜 자격증이 없는가?"
"1167","환경공단의 핵심가치는?"
"1168","요즘 환경관련 이슈는?"
"1169","싫어하는 상사 유형은 ?"
"1170","신규 입사해서 하고 싶은 일은?"
"1171","자기소개 해보시오."
"1172","프로젝트 수행 시 어려웠던 점이 있는가?"
"1173","C와 java 중 사용하는 언어가 있는가?"
"1174","새로운 업무를 맡게되면 어떻게 하겠는가?"
"1175","창의성이란 무엇인가요?"
"1176","학교수업 중 기억에 남는 수업은?"
"1177","자기소개를 해주세요."
"1178","상사가 본인에게 일을 떠넘긴다면 어떻게 할 건가요?"
"1179","어떤 부서에서 일을 하고 싶나요?"
"1180","자기소개서에 쓴 프로젝트 경험에 대해 본인의 기여 부분?"
"1181","지인들이 본인을 어떻게 평가하는지?"
"1182","나이 차이가 많이 나는 상사와 잘 지낼 수 있는지?"
"1183","본인은 리더인가 팔로워인가"
"1184","리더로서 가져야 할 자질은?"
"1185","스프링 프레임워크의 특징은?"
"1186","원하지 않는 직무에 배정된다면 어떻게 할건가요?"
"1187","인공지능이 금융시장에 미칠 영향이 무엇이라고 생각하나요?"
"1188","왜 증권계에 지원했나요?"
"1189","새로운 언어에 대해 어떻게 생각하나요?"
"1190","신기술이 아닌 옛날 기술인데 이것에 대해 어떻게 생각하나요?"
"1191","빅데이터란 무엇이라고 생각하십니까?"
"1192","직장동료 혹은 선배와의 갈등이 있다면 어떻게 하시겠습니까?"
"1193","알고리즘 문제"
"1194","공모전 출품 내용에 대해 자세히 설명해봐라."
"1195","면접자가 VC 라고 가정할 때 현재 시장에 출시된 다양한 간편 결제 서비스 중 2가지에 투자를 한다면 어떤 곳에 투자를 할 것이며, 그 이유는 무엇인가?"
"1196","스타트업을 운영하면서 제품 홍보는 어떻게 했는가?"
"1197","스타트업을 하게 된 계기는 무엇인가?"
"1198","현대카드에서 새롭게 런칭한 페이샷 서비스를 첫 결제 시 할인으로 프로모션하려고 한다. 주어진 금액을 할인해주었을 때, 주어진 기간 동안 총 몇 명의 사용자가 유입되어야 손익분기를 넘는가?"
"1199","how are you?"
"1200","글로벌 캠퍼스가 다른 기업과 다른점은?"
"1201","직무를 위해 필요한것이 무엇인가요?"
"1202","자기소개를 해보세요."
"1203","지원동기를 말해보세요."
"1204","입사 후 어떤 업무를 수행하고 싶나요?"
"1205","자소서에 있는 동아리 활동에 대해서 질문"
"1206","선택한 직무에 대한 질문"
"1207","준비해왔던 것들에 질문"
"1208","토론 주제에 대해 많이 알던데 어떻게 그렇게 알고 있나요?"
"1209","공모전 수상이 많은데 어떻게 준비한건가요?"
"1210","합격하게 된다면 지방근무인데 괜찮나요?"
"1211","갈등 상황에서 나와 다른 의견이 있을 때 어떻게 해결하는 편인가요?"
"1212","4차 산업혁명에서 가장 중요하다고 생각하는 요소는 무엇인가요?"
"1213","마지막으로 하고싶은 말은?"
"1214","최신 IT기술에 대해 설명해보세요."
"1215","자신이 했던 가장 인상 깊었던 일을 설명하고 왜 그랬는지 얘기해보세요"
"1216","스프링 써본 경험에 대해 말해보세요"
"1217","OS 유지 보수 경험에 대해 말해보세요"
"1218","빅데이터 활용 방안에 대해 말해 보아라"
