"","IT_questions"
"1636","C++클래스에 대해 3가지 말해봐라"
"1637","SW직무가 아니면 무슨 직업을 했을 것 같나"
"1638","UML의 필수요소가 무엇인가"
"1639","1분 자기소개서"
"1640","취미 및 특기"
"1641","경력 퇴직사유"
"1642","본 회사에 대해 아는대로 말해보라"
"1643","iOS가 포트폴리오에 있는데 iOS를 경험해 본 적이 있는가"
"1644","본인의 성격은 어떤가"
"1645","자기 소개"
"1646","STP에 대해 아는 것을 설명해보세요."
"1647","CDN에 대해서 아는 대로 설명해보세요.(인턴 경험)"
"1648","대학교때 많이 놀았나바요?"
"1649","술 담배는 얼마나 하세요?"
"1650","자신의 장단점이 어떻게 되요?"
"1651","사물인터넷에 대해 어떻게 생각하나?"
"1652","드론에 대한 장점은?"
"1653","드론이 우리 회사에 미칠 수 있는 점은 무엇이라고 생각하는가?"
"1654","주량이 어느정도 되는지? 스트레스는 어떻게 푸나?"
"1655","라이나생명이 앞으로 어떻게 고객만족을 시킬것인가"
"1656","거리에 휴지통을 설치해야 할까요?"
"1657","주식 경험이 있나요?"
"1658","진행했던 웹 프로젝트가 있는가"
"1659","사용했던 소프트웨어는 무엇이 있었는가"
"1660","그 외에 경험사항이나 이력에 대한 질문"
"1661","회사 다닐 때 어려웠던 점은 무엇이었는가?"
"1662","상사와 의견이 맞지 않다면 어떻게 할 것인가?"
"1663","프로젝트에 대해 설명해주세요."
"1664","인턴 생활 중 가장 힘들었던 점"
"1665","IT를 전공한 이유와 앞으로 포부"
"1666","4차 산업혁명에 대해 말해보세요."
"1667","다른 지원자와 비교했을 때 자신의 창의성은 무엇인가요?"
"1668","조직 경험에 대해 말해보세요."
"1669","지역 정보화에 대해 말해보세요."
"1670","한국지역정보개발원 홈페이지를 보고 느낀 점을 말해보세요."
"1671","희망 연봉이 어떻게 되나요?"
"1672","이전 직장에서 무엇을 했나요?"
"1673","지원동기가 어떻게 되나요?"
"1674","학점이 좋지 못한 이유는 무엇인가요?"
"1675","다른 공공기관에도 지원했나요?"
"1676","이루고 싶은 목표가 무엇인가요?"
"1677","지역정보개발원에 대해 설명해보세요."
"1678","String과 StringBuilder의 차이점은?"
"1679","자신이 한 프로젝트레 관해서 업계관련 지식이 있는지 확인, 면접관에게 물어볼 것은?"
"1680","자주 사용하는 어플이 무엇입니까?"
"1681","소켓통신이 무엇인가요?"
"1682","자신의 개발 등급과 그 이유를 설명해보세요."
"1683","직업과 직장에 대한 본인의 생각을 말해보세요."
"1684","키오스크란 무엇이라 생각하는가?"
"1685","키오스크를 사용하며 불편한 점은 무엇이었나요?"
"1686","품질이란 무엇인가요?"
"1687","형상관리를 해본 적 있나요?"
"1688","주말근무나 야근이 있을텐데 괜찮겠느냐?"
"1689","파견근무가 있을텐데 괜찮겠느냐?"
"1690","지원동기는?"
"1691","(영어질문) 만약 로또에 당첨된다면 어떻게 하실 건가요?"
"1692","개발하다가 어려움이 발생한다면 어떻게 해결할 것인가요?"
"1693","만약 지원한 직무와 다른 직무로 배치가 된다면 어떻게 하실 건가요?"
"1694","1억 개의 URL을 중복하지 않게 저장하려면 어떻게 해야하나요"
"1695","프로젝트에서 비콘을 사용했는데, 비콘의 위치 측정 정확도가 얼마나 된다고 생각하나요?"
"1696","학창 시절 수행한 프로젝트에 대해서 설명해주세요."
"1697","공백기가 왜 있는가?"
"1698","가장 기뻤던 순간과 나뻤던 순간은?"
"1699","문과 출신인데, IT쪽 적응을 잘 할 수 있겠는가?"
"1700","영어 성적이 좋지 않은데, 커버할 수 있는 다른 장점을 말해보시오."
"1701","거짓말에 대해 어떻게 생각하시나요?"
"1702","자기소개, 지원동기, 회사가 하는 일에 대해 말해보시오."
"1703","학창 시절 모르는 게 있으면 질문을 많이 했는가?"
"1704","기술영업 직무를 수행함에 있어 제일 중요한 덕목은 무엇입니까?"
"1705","본인의 강점에 대해 말씀해 주십시오."
"1706","지원한 직무에 있어서 신입사원이 필요한 덕목으로 무엇이 필요하다고 생각하십니까?"
"1707","현대알루미늄에 대해 아는 것이 있으시면 말씀해 주십시오."
"1708","리더로서 팀원간의 마찰을 해결했던 경험을 말해보세요"
"1709","입사 후 진행하고싶은 연구개발을 말해보세요"
"1710","리더로서 팀원간의 마찰을 해결했던 경험을 말해보세요"
"1711","입사 후 진행하고싶은 연구개발을 말해보세요"
"1712","성격의 장점은 무엇인가요?"
"1713","인턴 때 맡은 업무가 무엇인가요?"
"1714","좋은 소프트웨어는 무엇인가요?"
"1715","서버환경을 구축한 적이 있는가?"
"1716","경제(경영)관련 수업을 들은 적이 있는가?"
"1717","1부터 10만개의 수 중에서 소수를 뽑는 알고리즘을 설명해보라"
"1718","개발하면서 문제점들이 무엇이었나"
"1719","그 문제가 발생하면 어떻게 대처해야 하나"
"1720","두개의 언어의 메모리는 각각 어떤방식으로 관리하는지"
"1721","안드로이드 프로그래밍은 어느정도 하는지"
"1722","자신있는 언어가 자바 c++이라고 했는데 그 두개의 장단점"
"1723","ffmpeg을 사용하면서 발생한 문제점"
"1724","MVC가 뭔가요?"
"1725","db procedure에 대해 아나요?"
"1726","사용한 dbms는?"
"1727","넥슨 지원동기에 대해 말해보시오. 그리고 해당 직무에 지원한 동기는 무엇인가?"
"1728","직무를 위해 준비해온 것을 말해보시오."
"1729","본인의 10년 뒤의 모습에 대해 말해보시오."
"1730","가상함수가 무엇인지 설명해봐라."
"1731","가장 재미있게 했었던 게임이나 혹은 최근에 플레이해 본 게임의 재미요소를 분석하고, 해당 게임의 문제점 도출과 해결방안을 제시한 후, 추천해주고 싶은 유저층에 대해 말해보시오."
"1732","내적, 외적이 무엇인가?"
"1733","동기화 객체 3가지를 말해보시오."
"1734","동적할당이 무엇인지 설명해봐라."
"1735","맵과 해쉬맵의 시간복잡도가 어떻게 되는가?"
"1736","멀티스레드 환경에서 문제되는 것들을 설명해봐라."
"1737","멀티쓰레딩 혹은 멀티프로세스를 할 때 스케쥴링 기법에 대해 설명하시오."
"1738","메모리 단편화란 무엇인가?"
"1739","뮤택스, 세마포어를 언급했는데, 둘의 차이점이 무엇인지 설명해봐라."
"1740","별명은 무엇인가?"
"1741","본인의 장단점은 무엇인가?"
"1742","본인이 진행한 프로젝트에 대해서 설명해봐라."
"1743","스태틱 캐스트와 다이나믹 캐스트에 대해 설명해봐라."
"1744","어떤 직원이 되고 싶은가?"
"1745","오버로딩과 오버라이딩의 차이점은 무엇인가?"
"1746","자신을 사물에 비유한다면?"
"1747","잘하는 것은 무엇인가?"
"1748","좋아하는 티비 프로그램은 무엇인가?"
"1749","준비해온 질문이 있을 텐데, 자문자답해봐라."
"1750","지금까지 어떤 걸 공부해왔는지 본인의 경험같은 걸 예로 들어 구체적으로 말해봐라"
"1751","최근 1년 사이에 가장 임팩트 있었던 게임이 무엇인지 말해보시오."
"1752","최근 읽은 책은 무엇인가?"
"1753","취미는 무엇인가?"
"1754","퀵소트에 대해 설명해봐라"
"1755","팀원과의 마찰이 있을 때 어떻게 대처할 것인가?"
"1756","페이스북 친구는 몇 명인가?"
"1757","해당 전공을 전공한 이유는 무엇인가?"
"1758","해쉬맵과 맵의 차이가 무엇인가?"
"1759","해쉬맵에서 인덱스가 문자열일 경우는?"
"1760","현재까지 경험한 가장 큰 실패와 성공에 대해 말해보시오."
"1761","힙영역이 무엇인지 설명해봐라."
"1762","DB에서 인덱싱이란 무엇인가?"
"1763","TCP와 UDP의 차이점은 무엇인가?"
"1764","알고리즘 관련 문제를 제시 후 해결 방안을 말해 보아라."
"1765","플랫폼 OS 에서 본인이 가지고 있는 역량을 말해보세요"
"1766","스택 2개로 큐 구현이 가능한가? 그럼 시간복잡도는 어떻게 되는가?"
"1767","논술 문제에서 고르지 않았던 두 가지에 대해 구술해 보아라."
"1768","가상 함수에 대해 아는가?"
"1769","논술 문제에서 고르지 않았던 두 가지에 대해 구술해 보아라."
"1770","실제로 어떤 일을 하게 될지 구체적으로 설명하라"
"1771","전공과 지원분야가 다른 이유를 설명하라"
"1772","IOCP의 쓰레드 선택법은?"
"1773","알고리즘 문제 손코딩하고 시간복잡도를 계산해보아라"
"1774","알고리즘 문제 손코딩하고 시간복잡도를 계산해보아라"
"1775","자기소개를 해보아라."
"1776","최근 1년간 즐겨한 게임과 재밌었던 이유를 말해주세요."
"1777","리더로서 활동했던 경험이 있는가?"
"1778","이랜드 말고 지원한 회사는 어디이며, 그 이유는 무엇인가?"
"1779","이랜드시스템스에서 어떤 일을 하고 싶은가?"
"1780","인턴으로 활동했던 회사에는 왜 공채 지원을 왜 하지 않았는가?"
"1781","학점은 왜 안 좋은가?"
"1782","10년 후 당신이 이랜드 시스템즈에서 하고 있을 일은 무엇이라고 생각하는가?"
"1783","대형마트에서 판매 아르바이트를 했다고 하는데, 그때 본인만의 특별한 영업 방식이 있었는가?"
"1784","좋은 영업인에게 필요한 덕목은 무엇이라고 생각하는가?"
"1785","평소에 가족들과 대화를 많이 하는 편인가?"
"1786","우리 회사의 이미지는 어떠한가? 그리고 지원한 직무가 무슨 일을 하는지 아는가?"
"1787","일본어, 영어가 가능한가?"
"1788","지원동기에 대해 말해보시오."
"1789","멀티스레드 환경에서 신경써야 하는 부분은?"
"1790","쿼리의 반응속도를 빠르게 하려면 어떻게 해야 하나?"
"1791","자기소개, 지원동기, 스택, 큐 등 자료구조 차이점, 학창 시절 높은 성적을 받았던 과목은 무엇인가요?"
"1792","주소창에 주소 입력 후 일어나는 과정에 대해 설명해보세요."
"1793","어떤 제품을 통해 회사를 알게 되었나요?"
"1794","자바스크립트 사용해보았나요?"
"1795","ASP 다룰줄 아나요?"
"1796","학교와 교육기관에서 했던 포트폴리오에 대해 자세히 설명해보세요."
"1797","케이티샛이 뭐하는 곳인지 설명해보시오."
"1798","취미가 무엇인가요?"
"1799","10년 뒤에 로봇 어드바이저와 사람 둘 중에 누가 더 투자 수익을 많이 낼 것 같다고 생각하나요? 그리고 로봇이 사람의 일자리를 빼앗는거에 대해 어떻게 해야할까요?"
"1800","다른회사 지원한 곳은 없나요?"
"1801","본인이 물에 빠졌는데 나뭇가지 한 개를 갖고 있다면 어떻게 대처할건가요?"
"1802","신한금융투자 IT에서 일하기 위해 무엇을 준비했나요?"
"1803","역사, 소설책에 나오는 인물을 선택해서 1시간 동안 이야기 할 수 있다면 누구와 무슨 이야기를 하고싶나요?"
"1804","친구들이 본인을 좋아하는 이유가 무엇인가요?"
"1805","IT부서에서 하고 싶은 일은 무엇이고 만약 배치된 부서가 원하는 직무를 수행하지 않을 경우 어떻게 하실건가요?"
"1806","우리 회사를 소개해보세요"
"1807","전공이 관련학과가 아닌데 왜 지원했나요?"
"1808","지원 동기는 무엇인가요?"
"1809","아버지 어떤 일 하세요?"
"1810","2지망으로 XXX을 지원한 이유는 무엇인가?"
"1811","네트워크엔지니어란 무엇인가?"
"1812","밤을 새워서 해본 일이 있으면 말해보세요"
"1813","자기소개를 해보세요"
"1814","장학금을 받아본 적 있는가?"
"1815","지원한 분야에 관심을 가지게된 계기는 무엇인가?"
"1816","회사에 입사했는데 다른 직무로 일하게 된다면 어떻게 할 것인가?"
"1817","인턴 생활 동안 배운 것은 무엇인가?"
"1818","지원자 자신을 동물로 비유하자면 어떤 동물로 비유할 수 있는가?"
"1819","최신 IT 트렌드에 대해서 말해보십시오."
"1820","대학 시절 진행한 프로젝트에 대해 말해보세요."
"1821","자산운용이 무엇이라고 생각하는지 영어로 대답해보세요."
"1822","자산운용에 대해 어떻게 생각하는지 영어로 답변해보아라"
"1823","교우관계에서의 중요 덕목에 대해 말해보세요."
"1824","봉사활동 경험에 대해 이야기해보세요."
"1825","야근 많이 할 텐데, 이에 대해 어떻게 생각합니까?"
"1826","은행과 보험사의 차이점은 무엇인가?"
"1827","일반 IT, 금융 IT의 차이점과 하는 일이 무엇이 다른지 말해보세요."
"1828","입사 후 지원자가 IT 부서에서 기여할 수 있는 점으로는 무엇이 있습니까?"
"1829","왜 DGB생명에 지원하습니까?"
"1830","IT업계와 우리회사의 IT직무에서 하는 일의 차이가 무엇일까요?"
"1831","본인이 취득한 자격증과 관련된 능력을 교보문고에서 어떤 점에 적용해 볼 수 있을까요?"
"1832","교보문고 서비스 중 이용해본 서비스가 무엇입니까?"
"1833","IT 직무에서 어떤 일을 하고 싶습니까?"
"1834","소통이란 무엇입니까?"
"1835","우리은행의 모바일 플랫폼에 대하여 알고 있습니까?"
"1836","프로젝트에서 가장 중요한 요소는 무엇입니까?"
"1837","PM으로서 고려해야 할 점은 무엇입니까?"
"1838","개인정보, IoT, 3D 프린터, 핀테크 중 최대 3가지를 발표해보세요"
"1839","네트워크 구성요소를 말해보세요"
"1840","노조에서 활동할 의사가 있나요?"
"1841","폭포수 모델이란?"
"1842","NFC란?"
"1843","마지막으로 하고 싶은 말이 있습니까?"
"1844","왜 대기업에 가지않고 중견기업에 지원했나요?"
"1845","이 직무에 지원한 이유는 무엇인지 말해보세요."
"1846","자기소개 해보세요."
"1847","직무에 관한 것을 아는 대로 말해보세요."
"1848","역할에 안 맞는 일을 한다면 어떻게 할 것입니까?"
"1849","지원동기는 무엇입니까?"
"1850","자기소개를 해보시오."
"1851","지방근무가 가능한가?"
"1852","ERP가 무엇인가?"
"1853","다룰 수 있는 S/W와 프로그래밍 언어는 무엇이며, 본인의 실력은 어느 정도인가요?"
"1854","맵퍼스(아틀란)에 대해 얼마나 알고 있었나요?"
"1855","본인의 졸업작품에 대해 설명해보세요."
"1856","웅진싱크빅의 대표 서비스에 대해 발표해보세요."
"1857","기획서의 역할은?"
"1858","자기소개 해보세요"
"1859","본인이 좋아하는 성격과 싫어하는 성격에 대해 말해보세요"
"1860","성격의 장단점에 대해 말해보세요"
"1861","스트레스 해소 방법이 무엇인가요?"
"1862","실기시험의 난이도가 어떤것 같나요?"
"1863","우리회사에서 언제까지 일하고 싶나요?"
"1864","평상시 체력관리는 어떻게 하나요?"
"1865","현재 다른 회사에도 지원한 상태인가요?"
"1866","공모전 출품 내용에 대해 자세히 설명해봐라."
"1867","면접자가 VC 라고 가정할 때 현재 시장에 출시된 다양한 간편 결제 서비스 중 2가지에 투자를 한다면 어떤 곳에 투자를 할 것이며, 그 이유는 무엇인가?"
"1868","스타트업을 운영하면서 제품 홍보는 어떻게 했는가?"
"1869","스타트업을 하게 된 계기는 무엇인가?"
"1870","현대카드에서 새롭게 런칭한 페이샷 서비스를 첫 결제 시 할인으로 프로모션하려고 한다. 주어진 금액을 할인해주었을 때, 주어진 기간 동안 총 몇 명의 사용자가 유입되어야 손익분기를 넘는가?"
"1871","개인 연구 내용을 PT 발표해보세요."
"1872","개인 연구와 다른 분야로 지원한 것에 대해 어떻게 생각하나요?"
"1873","객체지향이란 무엇인가요?"
"1874","경험한 프로젝트에 대해 설명해보세요."
"1875","다른 사람들에 비해 기술적으로 무슨 장점이 있나요?"
"1876","당장 파수닷컴에서 쓸 수 있는 지식은 무엇이 있나요?"
"1877","실제 클래스를 이용한 경험에 대해 말해보세요."
"1878","어떠한 개발자가 되고 싶나요?"
"1879","연구소가 아닌 기업에 왜 지원했나요?"
"1880","파수닷컴의 제품이 무슨 기술로 사용된 것 같나요?"
"1881","가장 자랑할 만한 프로젝트 경험을 말해보세요."
"1882","살면서 가장 힘들었던 경험을 말해보세요"
"1883","아침 기상 시간은 몇 시인가요?"
"1884","졸업 후 바로 취직을 하지 않은 이유는 무엇인가요?"
"1885","지원 직무에 흥미를 갖게 된 계기를 말해보세요."
"1886","진정한 IT는 무엇인가요?"
"1887","최근 도전해서 성공했던 경험을 설명해보세요."
"1888","현재 자신이 지원하는 업무에 대해 얼마나 알고 있나요?"
"1889","IT 인프라가 뭐라고 생각하나요?"
"1890","지금까지 프로젝트를 하던 중 가장 대처하기 어려웠던 일은?"
"1891","가장 힘들었던 순간은?"
"1892","본인의 프로젝트를 설명해보세요."
"1893","최근 IT 트렌드에 관심있는 것이 있는가요?"
"1894","친구들이 지원자를 어떻게 생각하는가요?"
"1895","10년후 이곳에서 자신이 뭐하고 있을지 얘기해보라."
"1896","개발해본 프로그램을 이야기해보라."
"1897","고등학교 때 장래희망이 수학교사였는데 수학이 왜 좋았는지?"
"1898","돌발질문 - 회식자리에서 바로윗 선임과 상사간에 말다툼이 벌어진다면?"
"1899","요즘 자신만의 핫이슈는?"
"1900","입사 후 배우고 싶은 직무 3가지"
"1901","총 몇군데 이력서를 넣었는지?"
"1902","최근 가장 관심있는 분야는?"
"1903","스마트카드에 대해 아는 대로 설명해보세요."
"1904","인터넷뱅킹에서의 인증서비스의 절차에 대해 순서대로 설명해보세요, 각각 단계에서의 특징은 무엇인가?"
"1905","정보화의 역기능은 뭐라고 생각하는가?"
"1906","CS프로그래밍과 인트라넷프로그래밍 시의 보안 관점 상의 차이는 무엇인가?"
"1907","E-마켓플레이스에 대한 개념에 대하여 설명해보세요."
"1908","K-cash의 암호 알고리즘을 설명해보세요."
"1909","좋은 상사는 어떤 상사인가?"
"1910","c, c++, java의 차이점과 어떤 언어로 개발하는 것이 좋은지 설명해보시오."
"1911","프로젝트 시 어려움을 극복한 경험에 대해 말해보시오."
"1912","50대 여자가 쇼핑한다면 어떻게 기획하겠나?"
"1913","현재 서비스의 개선점을 말해달라"
"1914","감명깊게 읽은 책이나 영화는?"
"1915","기억에 남는 프로젝트는?"
"1916","지원동기는?"
"1917","회사에서 가장 중요하게 생각하는 것은 무엇인가?"
"1918","한수원 해킹 사건의 원인 및 재사고 방지를 위해 어떤 노력을 해야 하는가?"
"1919","SK 인포섹이 미래에 발전할 수 있으려면 어떻게 해야 하는가?"
"1920","보안 직무를 위해 무엇을 준비했는가?"
"1921","CSRF, XSS의 뜻과 차이점을 말해보라"
"1922","SQL injection의 뜻과 종류에 대해 말해보라"
"1923","관련 기술에 대한 지식이 있나요?"
"1924","농협이 핀테크를 다른 은행보다 먼저 도입 시행 중에 있는데 핀테크에서 무엇이 중요하며, 미래모습은 어떠한가?"
"1925","농협정보시스템 업의 본질이 무엇이라 생각하는가."
"1926","사물 인터넷에 대해 설명해보아라."
"1927","서울에서 부산까지 가는데 얼마나 걸린다고 생각하는가?"
"1928","앞으로 IT시장의 발전에 대해 어떻게 생각하는가."
"1929","가장 자신있는 기술 한 가지를 말해보세요."
"1930","출신학교 성격과 지원 분야가 다른데 왜 그런건가?"
"1931","A라는 문제점에 알고 있는가? 알고 있다면 그에 대한 해결을 어떻게 할 것인가?"
"1932","장차법에 대한 생각 및 전산적인 접근에 대한 의견을 말해보시오."
"1933","어떤 업무를 하고 싶습니까?"
"1934","증권권장 시스템에 대해 이야기 해보세요."
"1935","DB관련하여 아는 것을 말해보시오."
"1936","본인이 했던 프로젝트 중 가장 인상 깊은 것은 무엇인가?"
"1937","특허 정보 검색 서비스에 대한 생각이나 개선점을 말해 보시오."
"1938","IT 업계가 앞으로 나아가야 할 방향이 무엇인지 말해보아라"
"1939","데이터베이스에 대해 말해보세요."
"1940","사용가능한 프로그래밍 언어를 말해보세요."
"1941","사회봉사 경험을 말해보세요."
"1942","인생관 및 꿈에 대해 말해보세요."
"1943","네이버와 다음의 미디어 ux 차이는 무엇인지 사례를 들어 설명하라."
"1944","요새 젊은 사람들은 신문을 잘 안보지 않는가?"
"1945","존경하는 인물이 누구인가?"
"1946","왜 이직하냐, 그 전 회사에서는 뭐가 별로였냐?"
"1947","진행했던 프로젝트에 대해 설명해보세요."
"1948","코딩할 때 시간과 공간 중 무엇을 더 중점적으로 생각하나요?"
"1949","회사 홈페이지의 장점 단점에 대해 말해보시오. 이외에 업무에 관한 자신의 생각이나 내용 어필하시오."
"1950","진행한 학교 프로젝트에 대해 설명해보세요"
"1951","어떤 프로젝트의 경험이 있나요?"
"1952","휴학을 하였는데 이유가 무엇인가요?"
"1953","IT관련 학과가 아니라 우리 기업에 적합하지 않을 것 같은데 지원한 이유가 무엇인가요?"
"1954","본인이 회사에 왜 필요한지, 또한 일하고 싶은 이유를 말해보세요"
"1955","영어 또는 일본어로 지원동기를 말해주세요"
"1956","한화투자증권 어플리케이션 사용법에 대해 설명해 보아라."
"1957","연봉이 생각보다 낮아도 괜찮은지?"
"1958","제조 MEMS 들어본 적 있는지?"
"1959","한화투자증권 어플리케이션 사용법에 대해 설명해 보아라."
"1960","연봉이 생각보다 낮아도 괜찮은지?"
"1961","제조 MEMS 들어본 적 있는지?"
"1962","본인의 역량으로 회사에서 무슨 일을 할 수 있나요?"
"1963","연구 했던 분야를 구체적으로 설명해주세요."
"1964","지금까지 배운 통신 기술을 기술해주세요."
"1965","개발가능한 프로그램(TOOL)은?"
"1966","업무 커리어는 어떻게 하고 싶은지?"
"1967","업무외적인 것이 많을테지만 괜찮은지?"
"1968","앞으로의 역할은?"
"1969","(토론) 게임 중독을 4대 중독으로 규정한 것에 대한 찬반 논의"
"1970","(토론) 편의점 24시간 영업강요 금지법에 대한 찬반 논의"
"1971","(PT) 금연구역이 확대됨에 따라 길거리 흡연자가 늘어나고 있고, 이에 따라 비흡연자들의 불만이 높아지고 있는데 흡연자와 비흡연자의 불만을 잠재우기 위해 보건복지부 장관의 입장에서 대책을 세워 보세요."
"1972","(PT) 빅데이터를 이용해 신한생명에 어떻게 기여할 것인가요?"
"1973","보안에 관심이 있는 사람? (이라고 물어봄)"
"1974","삼성전자와 신한생명에 동시에 합격했습니다. 어딜 갈 것인가요?"
"1975","신한생명에 입사해서 무슨 일을 하고 싶은가요?"
"1976","자기소개서를 기반으로 한 질문. 어떠어떠한 프로젝트를 하셨다고 쓰셨는데 어떤 것인가요? 이게 과연 한 학기 동안이나 할 내용인가요?"
"1977","여자에게 인기가 많은 편인가요?"
"1978","영업직을 맡게 된다면 할 건가요?"
"1979","우리나라의 IT 분야를 활성화시키기 위한 방안을 말해보세요."
"1980","인턴생활 중 가장 기억에 남는 것이 있다면 무엇인가요?"
"1981","자신을 사물에 비유해 보세요."
"1982","취미는 무엇인가요?"
"1983","업무 처리 시의 프로세스는?"
"1984","인턴으로 근무하던 중 어떤 일을 했는가?"
"1985","자기소개서에 작성한 본인의 세일즈 스토리에 대해 자세히 말해보라."
"1986","프로젝트를 했다면 자세히 설명하고 어려웠던 부분이 무엇이었는지 말해보라."
"1987","IT분야 개발에 대해 어떤 아이디어를 가지고 있는지 밝히시오."
"1988","30초 자기소개 해보세요"
"1989","양복브랜드를 아는데로 말해보세요"
"1990","자기소개해보세요"
"1991","주량은 어느정도 되는가?"
"1992","커피브랜드를 아는데로 말해보세요"
"1993","포도주를 좋아하는가?"
"1994","프로젝트 경험이 있는가?"
"1995","SAP Customizing이란?"
"1996","SAP업무말고 다른업무가 주어지면 어떻게 할 것인가?"
"1997","살면서 가장 후회되는 일이 있다면?"
"1998","본인의 역량을 구체적으로 제시하고 회사 업무와 연결지어서 발표하시오"
"1999","살면서 가장 열심히 해본 일은 무엇인가요?"
"2000","졸업 후, 혹은 학교 다니면서 무엇을 해보았나요?"
"2001","피치 못할 업무로 야근이나 주말출근을 해야 합니다. 괜찮습니까?"
"2002","프로젝트했을때 문제점이 무엇이며 어떻게 극복했는가?"
"2003","상사가 불합리한 일을 시켰을때 어떻게 대처 하시겠습니까?"
"2004","1분 자기소개 해보세요"
"2005","팬택에 꼭 입사해야 하는 개인적인 이유를 말해보세요"
"2006","같이 일하는 팀원으로 인해 힘들었던 적은 어떠한 경우고 어떻게 극복하나?"
"2007","기술적으로 제일 자신 있는 것이 무엇인가?"
"2008","자기 소개를 경력 기반으로 해보라"
"2009","자기 소개와 성격의 장단점 그리고 입사 동기를 말해보라"
"2010","진행했던 프로젝트와 지원자의 역할은 무엇인가?"
"2011","기독교인인데 주말에 회사에 나가야 한다면 어떻게 할 것인가?"
"2012","다른 회사와 팬택의 차이점이 있다면 무엇인가?"
"2013","만약 지원한 다른 회사와 동시에 합격한다면 어떻게 하겠는가?"
"2014","오래전부터 계획한 중요한 일이 있는 날에 상사가 긴급한 업무를 시킨다면 어떻게 할 것인가?"
"2015","혹시 다른 회사에 지원했는가?"
"2016","자신이 했던 프로젝트로 인정받았던 경험이 있는가?"
"2017","직장에 헌신적인 사람과 그렇지 않는 사람의 차이점은 무엇인가?"
"2018","팬택과 다른 기업에 합격했는데 그 기업이 팬택보다 grade가 낮은 회사이다 하지만 본인이 원하는 직무를 할 수 있다면 어떻게 할것인가?"
"2019","C++의 클래스란 무엇인가? 객체란 무엇인가?"
"2020","Dynamic memory와 Static Memory를 설명해보세요"
"2021","TCP UDP에 대해 설명해보세요"
"2022","TDMA와 FDMA의 차이는?"
"2023","WCDMA는 동기화방식인가 비동기화 방식인가"
"2024","WCDMA와 LTE의 차이는 무엇인가?"
"2025","다른곳 어디어디 지원했는가? 떨어진 이유가 무엇이라 생각하는가?"
"2026","모듈화를 어떠한 기준으로 했는가?"
"2027","모듈화의 장점을 말해보세요"
"2028","본인을 뽑아야 할 이유를 말해보세요"
"2029","본인이 했던 프로젝트가 있는가? 있다면 자신이 한 부분은 어느 부분인가?"
"2030","인생에서 행복이 무엇이라 생각하는지 영어로 말해보세요"
"2031","졸업하고 지금까지 무엇을 했는가?"
"2032","팬택에 대해 알고 있는 것을 말해보세요"
"2033","공백기가 있는데 무엇을 했는가?"
"2034","들었던 과목중 재밌었던 과목과 어려웠던 과목은 무엇인가?"
"2035","마지막으로 하고싶은 말을 해보세요"
"2036","본인이 회사에 기여할 수 있는것은?"
"2037","성격의 장단점은 무엇인가?"
"2038","어떠한 친구를 좋아하는가?"
"2039","언제 스트레스를 받는가?"
"2040","최근 슬펐던 일이 있는가? 어떻게 극복했는가?"
"2041","최근에 취미로 하는것은 무엇인가?"
"2042","프로젝트 경험은 있는가?"
"2043","학교그만두고 다시 입학했을때 전혀 다른 과로 들어간 이유는?"
"2044","회사의 규정에는 맞는데 자신이 생각하기에 맞지 않는것을 시킨다면 어떻게 할것인가? 이의제기를 할것인가?"
"2045","마지막으로 하고싶은 말을 해보세요"
"2046","자기소개해보세요"
"2047","입사하면 막내인데 윗분들 심부름을 어떻게생각하는가?"
"2048","신입인 당신을 내가 왜 뽑아야하는지 나를 설득해보아라"
"2049","전공과다른 직종을 선택한 이유는 무엇인가"
