"","questions"
"1","기술을 공부할 때 어떤식으로 공부하나요?"
"2","프로세스와 스레드의 차이를 설명해보세요,"
"3","왜 CONTEXT SWITCHING 작업이 오래걸리나요?"
"4","기술을 공부할 때 어떤식으로 공부하나요?"
"5","프로세스와 스레드의 차이는?"
"6","왜 CONTEXT SWITCHING 작업이 오래걸리나요?"
"7","n명 참가 토너먼트 경기에서 총 몇번의 경기를 해야하는지, 우승하려면 몇판이겨야 하는지 공식을 구해보세요."
"8","러시안 룰렛6칸의 총 구멍에서 연속해서 2발의 총알을 장전했다. 상대편이 먼저 1판을 시도하여 생존했을때, 내가 생존하려면 바로 게임을 시도하는것이 유리한가, 총알을 회전시켜 무작위로 바꾸는것이 생존에 유리한가?"
"9","퀵정렬의 시간복잡도는 어떤지 설명해 보세요."
"10","100!의 끝자리에 0은 몇개나오는가?"
"11","12명의 사람이 전부 악수하는 경우의수는 몇가지인가?"
"12","그릇2개에 흰공 50개,빨간공50개를 마음대로 넣고 랜덤으로 그릇을 골라 공을 뽑았을때 흰공이 뽑힐 활률이 가장 큰 최적비율은?"
"13","딥러닝으로 뭔가를 분류해주는 플랫폼을 만들건데 서비스할때 여러사람들이 그 플랫폼에 접근해서 이용하는 구조로 만들려면 어떻게 서비스 해야되나요?"
"14","자바 string과 string builder 그리고 string buffer차이점을 말해보세요."
"15","두사람이 손가락을 이용해서 표현할수 있는 숫자의 경우의수는?"
"16","인트라넷 경험이 있으시네요?"
"17","정렬을 손으로 코딩해보세요"
"18","스프링의 aop와 ioc에 대해 설명해주세요"
"19","네이버에서 인사팀이 무슨 역할을 할 수 있는가?"
"20","삶의 철학은 무엇인가?"
"21","왜 네이버에 지원했는가?"
"22","IT에 관심이 많은가?"
"23","네이버에 입사하면 무슨 일이 가장 하고 싶은가?"
"24","네이버에서 시행 중인 인사 제도 중에 마음에 드는 게 무엇인가? 그리고 그 제도의 장점과 단점에 대해 설명해보시오."
"25","네이버에서 지원한 직무를 수행하는 것이 본인에게는 어떤 의미인가?"
"26","성격의 장단점을 이야기하시오."
"27","왜 네이버에 지원했는가? IT에 관심이 많은가?"
"28","인사 중에서도 어느 부분을 담당하고 싶은가?"
"29","전공이 지원한 직무와 관련이 없는데, 왜 지원하였는가?"
"30","직무를 위해 준비한 것에는 무엇이 있는지 말하시오."
"31","채용, 인사기획 등 여러 업무가 있는데, 왜 하고 싶은가?"
"32","취미는 무엇인가?"
"33","학교를 다니고 있는 상태인가? 아니면, 수료 상태인 것인가?"
"34","HTTP의 Keep/Alive에 대해 설명하세요"
"35","REST에 대해 설명하세요"
"36","봉사활동 경력에 대해 설명해 보시오."
"37","가장 자주 이용하는 네이버 서비스는 무엇인가?"
"38","어떤 매체가 중요하다고 생각하는가?"
"39","홍보업무를 수행하는데 있어 가장 중요한 역량은 무엇이라고 생각하는가?"
"40","프로젝트를 진행해야 하는데 성능 감소를 최소화 하기 위해선 어떻게 설계할 것인가?"
"41","선배와 후배 중 더 일하기 편한 그룹은?"
"42","나는 입사하여 어떻게 할건지?"
"43","본인이 IT에 관심이 있으신 분은 본인 얘기해주세요?"
"44","인턴을 하며 느낀 점을 말씀해주세요."
"45","입사 후 포부? 직장인으로서 가져야 할 가치관?에 대해 영어 혹은 본인이 자신 있는 언어로 3~4문장 수준으로 대답해주세요."
"46","재무 직무가 어떤 직무인지, 네이버 재무팀은 어떤 일을 하는지?"
"47","5천만명의 회원을 수용할 수 있는 서버 및 데이터베이스 수 계산"
"48","자기소개"
"49","퀵소트 짜기"
"50","UTF-8 해당하는 언어셋의 문자열수를 계산하는 함수 짜기"
"51","OO서비스 많이 이용해 보셨나요? (네이버 자사 서비스)"
"52","10000원을 실제로 표시할 때는 10,000원으로 ,을 넣어 구분하는데 그 것을 출력하는 로직 만들기"
"53","10년뒤에 사용될 서비스 기획"
"54","다른 곳에도 있는 서비스 아닌가?"
"55","서비스 타깃의 폭이 좁지 않은가?"
"56","최소비용 신장트리를 구하는 방법은?"
"57","C언어의 프로세스 공간에 대해 설명하시오"
"58","앞으로 네이버가 나아갈 방향은?"
"59","어떻게 외부 컨텐츠 공급자로부터 협력을 얻을 것인가? 그들에게 줄 수 있는 이점이 있는가?"
"60","왜 네이버에 지원했는가?"
"61","이용해본 네이버 서비스와 개선해야 할 점은?"
"62","본인은 사진촬영이 잘 어울리나요 아니면 스튜디오 관리가 잘 어울리나요?"
"63","네이버의 상황을 SWOT툴을 사용하여 분석해보시오"
"64","자신의 어떤 점이 이 직무에 도움이 될 것이라 생각하는가"
"65","지원동기"
"66","석사 논문에 대해 설명해달라 (기타 통계방법론 등)"
"67","영어 외에 할 줄 아는 제2외국어 있는가?"
"68","이 부서에 들어와서 이 업무를 하고 싶은 이유가 무엇인가?"
"69","현재 다른 회사에서 인턴을 하고 있는데, 만약 우리 회사 채용에 떨어지면 어떡하나?"
"70","본인이 가장 잘하는 것과 못하는 것이 무엇입니까"
"71","직장상사와 의견충돌이 발생하였을 경우, 어떻게 해결할것인가?"
"72","기획에서 내려온 내용이 맘에 들지 않는다면 개발자의 입장에서 어떻게 처리할 것인가?"
"73","네이버에서 가장 불편하다고 느끼던 서비스가 무엇이며 그 이유는 무엇인가?"
"74","100! = 100 * 99 * ... * 2 * 1 = xx…x00..0 = xx…x * 10^n 이 때 n의 값은?"
"75","지원직종에 해당하는 서비스 개선안 제시"
"76","직전회사를 그만두고 네이버를 지원한 이유는?"
"77","네이버에 대해 어떻게 생각하는가? / 취미,특기,기술,성격등../자주보는 네이버 웹툰은? / 봉사활동의 좋은점은"
"78","경영지원직에 지원을 한 동기를 말해보세요."
"79","본인의 인생에 있어서 터닝포인트가 되었던 것은 무엇인가"
"80","가장 좋아하는 브랜드가 무엇인가?"
"81","광고 공모전 수상 경험이 많은데 광고 분야로 취직 안 하고 NBP를 선택한 이유는 무엇인가?"
"82","마지막으로 하고 싶은 말을 해보세요"
"83","인턴을 통해 배운 것을 구체적으로 말해보세요"
"84","NBP에 들어와서 어떤 일을 하고 싶은가? 그걸 할 수 있다고 증명할 수 있는 경험을 이야기해 보세요"
"85","NHN 지식쇼핑에서 일하는 것은 어떻게 생각하는가?"
"86","경력이 있는데 경력을 무시하고 인턴쉽이 가능하겠는가?"
"87","라그나로크의 성공 요인이 무엇이라 생각하는가?"
"88","마지막으로 하고싶은 말을 해보세요"
"89","소셜 네트워크게임으로 테라를 만든다고 하였는데 정확히 어떻게 구현 되는지 말해보세요"
"90","테라가 20레벨이 넘어가면 대형 몬스터로 인해 조작이 어려워 지는데 모바일로 구현 가능한가?"
"91","테라는 몇 레벨까지 올려봤는가?"
"92","입사하게 된다면 하고 싶은 업무가 무엇인가?"
"93","전 직장에서 하던 업무가 무엇인가?"
"94","지원 동기를 말해보라"
"95","한게임 게임 중 해본 것이 있는가?"
"96","한게임이 RPG를 꼭 해야 하는가?"
"97","회사에 궁금한 점이 있는가??"
