"","면접질문"
"1049","지원동기"
"1050","앞으로의 미래계획"
"1051","자기소개"
"1052","지원동기"
"1053","입사 후 포부"
"1054","우리화사에 대해 아는 것을 말해보라"
"1055","자신의 능력을 객관적으로 평가한다면"
"1056","자기 계발에 어느정도 투자하는가"
"1057","이 직무를 수행함에 있어 가장 중요하게 생각하는것?"
"1058","지방근무 가능한가요?"
"1059","서연이화를 선택한 이유?"
"1060","본인의 성격이 내향적입니까, 외향적입니까?"
"1061","친구가 많은 편입니까?"
"1062","영업이란 무엇이라고 생각합니까?"
"1063","지인들 중 기술영업에 종사하는 분이 있습니까?"
"1064","취미나 여가 활동으로 무엇을 합니까?"
"1065","비서란무엇인가"
"1066","비서가 되기위해서 필요한 자질 세가지"
"1067","불합리한 지시사항을 받는다면 어떻게할것인가"
"1068","고등학생때부터 지금까지의 일생기"
"1069","졸업한 학과랑 전혀 다른 분야를 지원한 이유는?"
"1070","지원하는 직무에 대해 잘 알고 있는지?"
"1071","경력과 인성 위주 질문"
"1072","삼성 계열사로 안정성"
"1073","삼성 계열사"
"1074","집이 지방인데 수도권 근무 잘할수있겠냐?"
"1075","용접관련 업무를 했다는데 용접의 장점과 단점을 말해보아라"
"1076","전 회사 다닐때 힘들었던 경험"
"1077","자기소개"
"1078","무슨 일 하는지 알고 왔는가?"
"1079","왜 에스원인가?"
"1080","지방근무 가능여부"
"1081","상사가 부당한 지시를 할시?"
"1082","희망하는 직무"
"1083","결산 Flow를 설명하세요."
"1084","한진에 대해 아는것이 있다면 말해주세요."
"1085","이직사유"
"1086","상사가 본인의 공로를 가로챌 경우 대응방법은?"
"1087","야근에 대한 본인의 의사는?"
"1088","본인의 업무 스타일은?"
"1089","아파트 시공경험에 대한 직접 설명"
"1090","회사생활의 포부"
"1091","현 주거지외 타지역의 근무가능 여부"
"1092","우리 회사에 왜 지원했습니까?"
"1093","자신의 단점이 뭐라고 생각하십니까?"
"1094","남성 비중이 커 다소 거친 분위기에 적응할 수 있겠습니까?"
"1095","계룡건설이 하는 사업 알고있냐?"
"1096","왜 계룡건설에 지원했는가?"
"1097","장교로 군을 나왔는데 왜 그랬는가?"
"1098","우리회사 말고 다른회사 지원했는가?"
"1099","어디를 가겠냐하면 우리를 온다하겠지? 왜 그런가?"
"1100","상사가 말도 안되는 부당한 지시를 내린다면?"
"1101","개발직무는 현장으로도 많이 발령날 수 있다. 근무가 가능하겠는가? 그 이유는?"
"1102","학교생활 외의 동아리나 대외활동 경험있나?"
"1103","개발부서는 힘들고 야근이 많을 수 있다. 괜찮은가?"
"1104","우리 회사는 이직율이 높다. 만약 다른회사에서 이직제의가 오면 어떻게 할 것인가? 이직시 가장 고려하는 사항은 무엇인가?"
"1105","자기소개서에 대한 심층 질문"
"1106","주량"
"1107","직무관련 사회이슈"
"1108","어떤 직무를 하고싶은지"
"1109","다룰수 있는 프로그램이 뭐가 있는지"
"1110","4차산업에서 제조업 관련해 어떤분야가 중요하다고 생각하는가"
"1111","노력해서 무언가를 성취한 경험"
"1112","회사내에서 불법적인 일을 목격했을때 대처"
"1113","마지막으로 하고싶은 말"
"1114","지원동기"
"1115","매출목표"
"1116","영업 경험"
"1117","내가 무슨 일을 했는지"
"1118","꿈이 무엇인지"
"1119","내가 노력한 일은?"
"1120","3년후, 5년후의 모습"
"1121","본인의 강점"
"1122","지원한 부서에대한 이해설명"
"1123","리하우스 TR이 어떤 직무인지 아는가?"
"1124","본인이 꼼꼼하고 세심하다고 생각하는가?"
"1125","학교와 회사의 차이에 대해 설명해봐라"
"1126","생산관리가 무엇이라고 생각하는가?"
"1127","지원동기"
"1128","이전에 다른 곳 면접본 적이 있는가?"
"1129","운전 가능한가?"
"1130","거리가 있는데 자취할 것인가?"
"1131","사는 곳에 관련된 질문"
"1132","자소서에 관한 질문"
"1133","이전 경력에 관련된 질문"
"1134","플래스샵을 방문 해보았는지?"
"1135","우리 회사의 강점은?"
"1136","기업을 보았을때 중요시하는 것은?"
"1137","이전 직장에서 영업을 어떤식으로 해왔으며 본인의 강점이 무엇인가"
"1138","전 직장의 퇴사사유 및 영업 관련 하던 업무"
"1139","경력사항에 대한 질문"
"1140","취미, 특기사항"
"1141","지원한 이유"
"1142","경력사항"
"1143","회사를 선택한 이유"
"1144","지원 동기 _ 한글로 답변 후 해당내용 영어로 답할것을 요구"
"1145","진행해본 아이템들"
"1146","앞으로의 비젼"
"1147","벤더에 대해 잘 알고있는지"
"1148","자기에 대한 어필"
"1149","그동안 해온것중 잘했다고 생각하는것"
"1150","개인정보 처리 방안"
"1151","증권업무에 대해서 얼마나 알고, 주식을 해보았는지"
"1152","현재 진행중인 전형이있는지 있다면 그곳과 비교하여 여기가 얼마나 매력이 있는지"
"1153","실제 증류탑 단수를 결정하는 요인은 무엇인가?"
"1154","근무지역 1지망을 군산으로 선택한 이유?"
"1155","자신을 한 단어로 표현하면?"
"1156","자기소개를 해주세요?"
"1157","어떤사람이 되고 싶나요?"
"1158","질문이 두개 밖에 없었습니다."
"1159","장단점"
"1160","1분 자기소개"
"1161","자신의 꿈"
"1162","1차 2차 : 영양사로서 가장 중요한 자질"
"1163","2차 : 자신이 큰 손해를 보면서 양보를 한 경험"
"1164","2차 : 여사님들이 지원자를 무시한다면 어떻게 행동"
"1165","2차 : 영양사로서 중요한 자질 세가지를 다 지키기 힘들탠데 어떻게 지키겠습니까"
"1166","1차 : 갑자기 식재료 수급에 차질이 생긴다면"
"1167","경쟁사 대비 우리 회사의 강점은?"
"1168","본인의 특기는?"
"1169","차별을 당한 경험은?"
"1170","이 직무를 수행함에 있어 가장 중요하게 생각하는것?"
"1171","지방근무 가능한가요?"
"1172","서연이화를 선택한 이유?"
"1173","직무설명"
"1174","지원한 동기"
"1175","추후의 면접이 가능한가"
"1176","경력사항에 물어봤어요"
"1177","무엇을 만드는 곳인지 아는지 물어보셨어요"
"1178","근무하게 된다는 어떻게 일을 할것인지 물었습니다."
"1179","사용한 Chip 사양이 어떻게 되는가?"
"1180","만일 차종개발할 일정은 얼마 안되는데 개발해야할 차종이 많다면 어떻게 대응하겠는가?"
"1181","이직하려는 이유는 무엇인가?"
"1182","회사에서 주력으로 만드는 제품이 뭔지 아는가?"
"1183","1분 자기소개"
"1184","경력사항에 대한 세세한 질문"
"1185","이직사유"
"1186","지원사유"
"1187","주재원 가능여부"
"1188","원하는 부서"
"1189","왜 이직을 생각하게 되었는가?"
"1190","보이드관련 대응방법은?"
"1191","미투운동이 화두인데 성희롱은 어디부터 라고생각하는가?"
"1192","지원동기"
"1193","회사에 대해 알고 있는점"
"1194","직무 지원동기"
"1195","경력사항은 주로 단기아르바이트를 하였습니다."
"1196","편안한 분위기에서 일할 수 있는점이 좋습니다."
"1197","사회경험을 쌓기 위해 지원하였습니다."
"1198","본인이 연구했던 것을 어떻게 적용시킬 수 있는가?"
"1199","최근 읽은 책에 대해 설명하시오."
"1200","회사에 대해 알고있는 것을 이야기해보시오."
"1201","셀트리온에 대해"
"1202","자신의 장단점"
"1203","자기에 대해 한마디로 표현함"
"1204","가장 좋아했던 과목가 그 이유"
"1205","만약 지원 부서가 아닌 타부서에 발령이 났다면 어떠할지"
"1206","자소서에 적은 내용 그대로를 질문(전공)"
"1207","전 회사 퇴직 및 이직 이유"
"1208","이력서 및 자기소개서 사실 확인"
"1209","회사 근무 및 시스템 적용시 어려운 점 및 극복방법"
"1210","회사에 들어오고 싶은 이유 ?"
"1211","취미 특기 ?"
"1212","무슨회사인지 아는가 ?"
"1213","맡았던 업무에서 실질적인 성과를 낸 경험에 대해 말해보시요"
"1214","우리 회사에서 구체적으로 어떤 역할을 맡고 싶은지 말해보세요"
"1215","우리 회사에 지원하게 된 이유를 말해보세요"
"1216","실무) 1분 자기소개 & 자소서 내용 검증 질문"
"1217","실무) 본인의 전공의 이슈는?"
"1218","임원) 본인의 전공과 관련해서 하고 싶은 업무는?"
"1219","임원) 만약 다른 업무가 주어진다면?"
"1220","임원) 실패한 경험과 그에 대처한 자세"
"1221","임원) MZ세대의 정체성과 기성세대의 갈등 및 MZ세대가 고쳐야 할 점은?"
"1222","회사에 들어오면서 무슨 생각이 들었는지?"
"1223","요즘 세대는 워라밸을 중요시하는데, 직무에 있어서 어떻게 밸런스를 맞출 것인지"
"1224","5년 후, 10년 후 미래의 모습?"
"1225","이직 이유"
"1226","기존업무"
"1227","현업과 적용 가믕성"
"1228","이 지원자들 중 어떤 사람을 뽑겠습니까?"
"1229","성공했던 경험"
"1230","엔지니어로서의 가장 중요한 덕목"
"1231","회사의 경쟁력 무엇인가요0"
"1232","경력사유"
"1233","이직이유"
"1234","회사에 대해 알고 있는 부분"
"1235","이직인 경우 왜 전 회사를 그만두게 되었나"
"1236","업무를 시작한다면 언제부터 출근 가능한가"
"1237","무엇을 하는 회사인지 알고 있느냐"
"1238","경력사항 직무경험"
"1239","자신의 장점"
"1240","회사에서 발휘할 수있는 부분"
"1241","창의적이었던 경험"
"1242","도전 경험"
"1243","지원동기"
"1244","기존에 다니던 곳의 퇴사를 결심하게 된 이유?"
"1245","사조대림이 당신을 왜 뽑아야 하는 이유?"
"1246","서울 근무가 가능하십니까?"
"1247","사조대림하면 떠오르는 이미지"
"1248","본인이 사조대림에 일조할 수 있는 특별 역량"
"1249","면접을 마치며 마지막으로 하고싶은 말"
"1250","1분 자기소개"
"1251","학창시절 본인이 제일 기억나는 순간"
"1252","자기소개(1차)"
"1253","전공이 다른데, 마케팅 직무를 선택한 이유는?(1차)"
"1254","가장 보람있는 경험은?(1차)"
"1255","꿈은?(1차)"
"1256","자기소개(2차)"
"1257","회사 제품 중 가장 인상 깊었던 것(2차)"
"1258","지원한 직무가 아닌 다른 직무로 뽑혀도 괜찮은지?(2차)"
"1259","1분자기소개"
"1260","성격 장점"
"1261","회사선택기준"
"1262","경력의 경우, 이직 사유, 신입의 경우 입사 지원 동기"
"1263","왜 관련 학과를 선택했는가?"
"1264","졸업 여부"
"1265","자기소개"
"1266","업무에 대해 아는점"
"1267","마지막 할말"
"1268","주량은?"
"1269","가족구성원은?"
"1270","경력인정이 안될 경우 입사가능한지?"
"1271","지원동기"
"1272","회사를 알게된 계기"
"1273","직무 선택한 이유"
"1274","전공관련 사회적 이슈"
"1275","경력사항"
"1276","기업이라면 면접자를 채용할 것인가"
"1277","1,2지망이 다른데 그래도 상관없는지"
"1278","자신의 강점을 살렸던 경험"
"1279","실패했던 경험이 있는지"
"1280","자신이 지원하게된 부서에 대해 아는 것"
"1281","전공과 다를시 왜 이쪽으로 오게 되엇는지"
"1282","간단한 자기소개 (경력 위주)"
"1283","Portfolio presentation in English"
"1284","전 직장 퇴사 사유"
"1285","아파트 시공경험에 대한 직접 설명"
"1286","회사생활의 포부"
"1287","현 주거지외 타지역의 근무가능 여부"
"1288","우리 회사에 왜 지원했습니까?"
"1289","자신의 단점이 뭐라고 생각하십니까?"
"1290","남성 비중이 커 다소 거친 분위기에 적응할 수 있겠습니까?"
"1291","개임을 좋아하는지?"
"1292","왜 이직하려고 하는지"
"1293","본인의 커리어 골은?"
"1294","개인별 자기소개"
"1295","회사를 알게된 경로"
"1296","개인 경력사항 간단히 설명"
"1297","현장업무 특성상 격외지 근무를 할수 밖에 없는데 가능여부"
"1298","경력관련질문(많음)"
"1299","우리회사에대해 알고있었는지"
"1300","최근 연구동향 (아는대로 설명)"
"1301","할줄아는실험 설명"
"1302","졸업논문설명"
"1303","거리문제 출근"
"1304","결혼, 출산"
"1305","지원동기"
"1306","회사에 대해 알고 있는점"
"1307","직무 지원동기"
"1308","아워홈에 지원한 동기는?"
"1309","쌀의 도정 수율에 대해서 영어로 설명하시오"
"1310","지방으로 파견을 나가게 되면 어떻게 업무를 할 것인가"
"1311","동아리활동"
"1312","취미"
"1313","지원동기"
"1314","감가상각에 관해 설명하라"
"1315","원가회계의3요소란?"
"1316","야근을 할 수 있는가?"
"1317","학점이 낮은 이유는 무엇인가"
"1318","입사 포부를 말하라"
"1319","급한 성격인가?"
"1320","1분자기소개 및 퇴사 이유?"
"1321","김치에 대해서 제일 중요한것이 무엇인가"
"1322","아워홈 김치에 대해서 아는대로 말해보시오"
"1323","생산관리에서 중요한것은?"
"1324","생산관리 주업무에 대해서 말해보시오"
"1325","어려웠던 경험이 무엇이고 어떻게 극복했는지?"
"1326","이력서 자소서 기재사항에 대한 질문"
"1327","현재 충원하고픈 직무가 있는데 이 직무에 대한 경험 있는지"
"1328","지원사유와 전,현직장 퇴사사유"
"1329","기존에 해왔던 업무지식"
"1330","회사를 선택한이유"
"1331","주말근무의 가능여부"
"1332","왜 퇴사했는가"
"1333","우리 제품의 디자인은 어떠한가"
"1334","3D로 제품을 만들어 보라고 한다면 할 수 있는가"
"1335","회사를 위해 할수있는일"
"1336","이직사유"
"1337","회사에 대해 아는것을 말해보시오"
"1338","자기소개서는 형식적인거고, 본인이 포스코케미칼에 들어오기위해 노력한 것은 어떠한 것이 있습니까?"
"1339","봉사활동 실적(260시간)이 많은데 봉사를 하게된 결정적 계기는?"
"1340","연고지가 없는 지역에서의 직장생활 어떻게 생각하시나요?"
"1341","마지막으로 하고싶은 말이 있나요?"
"1342","한라 채용공고는 어디서 알았나요?"
"1343","희망직급이 무언가요?"
"1344","현장 근무 가능하죠?"
"1345","돈을 벌어본 경험이 있나?"
"1346","해외연수 해봤나?"
"1347","본인과에 대하여 어떻게 생각하나?"
"1348","품질관리 직무에 지원한 이유가 무엇인가?"
"1349","인턴경험"
"1350","1분 자기소개"
"1351","회사지원동기"
"1352","전공에 관한 설명"
"1353","영어 자기소개"
"1354","직무에 대한 이해"
"1355","상사와 부딪혔을때 대처"
"1356","어떠한 마케팅 활동을 했었는지"
"1357","왜 면접자를 뽑아야하는니"
"1358","경력사항에 대한 상세한 질문 (다양한 경험을 한것으로 혼자한것인지, 함께한것인지/ 혼자했다면 힘들지않았는지 등도 물어보셨습니다.)"
"1359","다른부서와의 갈등을 어떻게 해결할것인지"
"1360","자기소개에서 나를 표현했던 단어를 왜 사용한것인지"
"1361","경험을 얕게 했다면 문서로만 익혔다고 봐도 되는지"
"1362","회사의 제품에 대해 아는점"
"1363","인턴을 하였는데 그때의 에피소드"
"1364","인턴의 업무루틴이 뭐였는지"
"1365","제조용수 샘플링시에 가장 중요하다고 생각하는점을 말해주세요"
"1366","학교에서의 실험이 뭐뭐해봤는지"
"1367","validation/qualification 이 무엇인지"
"1368","입사하게 된다면 가장 기대되는 점"
"1369","취미가 무엇인지"
"1370","그룹내에서 리드하는 편 or 소속되어있는 편"
"1371","인생에서 기억에 남는 순간"
"1372","1분 자기소개"
"1373","대학교 졸업 후 임상병리사로 취업하지않고 대학원에 간 이유"
"1374","게재 논문들이 주로 어떤 내용이었는지(꼬리질문)"
"1375","꼬리질문(1)주로 항생제 내성 유전자를 연구했는지?"
"1376","꼬리질문(2)석사 때 마이크로바이옴 연구했는지?"
"1377","NGS 해봤는지"
"1378","마지막으로 회사에 궁금하거나 하고싶은 말"
"1379","학부연구생으로 지내며 어떤 실험을 해보았는가?"
"1380","자신의 단점에 대해 얘기해주세요."
"1381","왜 제약회사에서 근무하고 싶으신지"
"1382","발현량이 적은 단백질을 어떻게 높일것인지"
"1383","기존의 방식에서 개선하면 좋을 부분은?"
"1384","마지막으로 1분 자기 PR 시간 드리겠습니다."
"1385","경력 사항에 대한 질문과 어떻게 기여할 수 있을지?"
"1386","우리 회사를 선택한 이유"
"1387","스트레스 해소 방법"
"1388","학술팀 업무 내용을 알고 있는기?"
"1389","영어 논문 읽고 이해하는 것에 능숙한가?"
"1390","신입사원으로써 잘 적응할수있는가?"
"1391","마케팅에 관심을 가지게 된 계기?"
"1392","입사하게 된다면 어느 직급까지 올라가고 싶은가?"
"1393","집이 멀리 있는데 어떻게 출근할 계획인지?"
"1394","우리 회사가 어떤 회사인지 아는가?"
"1395","입사후 영어가 많이 필요한데 영어 회화 실력이 어느정도인가?"
"1396","지원직무에 대해서 가장 중요하다고 생각하는 점은?"
"1397","우리회사에 대한 제품이름을 아는가?"
"1398","이직하는 사유는?"
"1399","거주지, 이력서 사항"
"1400","3분 스피치 (주제 면접관 자유 재량)"
"1401","인사총무의 업무 형태"
"1402","각 경력회사에서 담당했던 직무는?"
"1403","당신은 보험이 필요하다고 생각하십니까?"
"1404","자신이 어려웠던 일을 극복했던 경험이 있나요?"
"1405","리세셥에 지원하게 된 이유"
"1406","어떤 업무를 하는지에 대해"
"1407","후배와 싸우면 어떻게 해결하는지"
"1408","스트레스를 어떻게 해소하는지"
"1409","이전 직장에서 주로 담당했던 직무는?"
"1410","Fly-ash 이송시스템에 들어가는 설비를 루츠브로워 부터 끝까지 대보기"
"1411","Fly-ash 이송시스템 설치 공사 과정중 가장 어려웠던 경험은?"
"1412","그 이외의 프로젝트 공사 진행중 어려웠던 경험은? 어떻게 해결해 나갔는지?"
"1413","레미콘 구성요소?"
"1414","MS 오피스 프로그램 활용능력"
"1415","업무가 단순하고 반복적인데 괜찮은지"
"1416","관리직무에 입사하여서 무엇을 할 수 있는지"
"1417","회사에대해 아는 것이 무엇인지"
"1418","지방에 근무하여도 가능한지"
"1419","자기소개"
"1420","회사를 선택한이유"
"1421","실무에 관한 질문"
"1422","대학교에서 어떤 생활을 했는지?"
"1423","우리회사는 어떤 회사인지?"
"1424","가지고 있는 자격증 및 자신의 강점"
"1425","기업에 입사하여 자신의 강점을 발휘 할 수 있는 부분은?"
"1426","매장 방문 경험"
"1427","회사를 선택한 이유"
"1428","주말에 일하셨던 경험이 있으시네요?"
"1429","우리회사 광고모델로 적합한 사람은 누구인가?"
"1430","회사의 강점이 무엇이라고 생각하시나요?"
"1431","지원하게 된 동기는?"
"1432","직무에 있어서 필요한 것이 무엇인가?"
"1433","입사 후 포부는?"
"1434","조합과의 관계 형성을 어떻게 할것인가"
"1435","농협사료에 대해 아는것을 말하라"
"1436","영업에서 가장 중요한것은 무었인가"
"1437","왜 남들 다 하기 싫어하는 보험업을 선택했느냐?"
"1438","인생에서 모든 것을 포기하더라도 꼭 이루고자 하는 간절한 소원이 있느냐?"
"1439","이루지 않으면 안될 인생의 목표가 있느냐?"
"1440","연구내용에 대한 상세한 질문"
"1441","회사의 어떤 파트에 기여할 수 있는가"
"1442","영어회화 어느정도 가능한가?"
"1443","교육기획 쪽으로 지원한 이유는요?"
"1444","저희 기업에 대해 아시는 점은요?"
"1445","경력에 대해 설명해주세요"
"1446","정비가 왜 하고싶은가?"
"1447","무엇을 준비하였나?"
"1448","왜 이브랜드를 선택했나?"
"1449","경력 사항에 대한 질문"
"1450","지원이유 질문"
"1451","각오"
"1452","식품회사에 경험이 있는지"
"1453","생산직 경험있는지"
"1454","보건증있는지"
"1455","자기소개(자유롭게)"
"1456","영양사와 조리사간의 갈등 해결방안(선착순 질문)"
"1457","식단가 낮은곳 높은곳 선택하고 그 이유 (공통질문)"
"1458","경력사항"
"1459","이직사유"
"1460","지원동기"
"1461","자신이 생각하는 생산관리란?"
"1462","자신이 생각하는 생산관리의 가장 큰 문제점은?"
"1463","생산성이란?"
"1464","첨부된 논문에 대한 상세 질문"
"1465","입사하여 개발하고 싶은 제품"
"1466","부전공 선택이유"
"1467","자기소개"
"1468","자기소개를 바탕으로 직무경험 및 인성부분에 대한 물음"
"1469","회사가 외관상 지주회사이지만 자회사 대비 처우가 조금 불편하다면 감내가능한지?"
"1470","팀이 분화가 잘 되어있는게 바람직한지 유기적인 것이 바람직한지에 대한 본인의 생각?"
"1471","회사가 시내와 분리되어 주변에 편의시설 등이 없는데 괜찮은지?"
"1472","왜 이 직무인가"
"1473","나의 강점 일화소개"
"1474","전공에서 배운 것 중 직무관련 내용"
"1475","본인이 제일 잘하는 것"
"1476","회사 인재상"
"1477","출퇴근 방식"
"1478","영 칼로리의 정의란 무엇인가"
"1479","미래에 각광받을 건강 기능성 식품은 무엇인가"
"1480","가장 감명 깊게 읽은 책은 무엇인가."
"1481","자기소개 1분안으로 해보시오"
"1482","회사소개 간단하게 해보시오"
"1483","자신의 장점은?"
"1484","자기소개 및 지원동기"
"1485","알고 있는 회사 공정에 대한 설명 (ex. 어떤 촉매 사용하는지 아는가?)"
"1486","리더로서 어떤 자질이 가장 중요한지?"
"1487","경력사항에 대한 상세한 소개"
"1488","지원 동기"
"1489","전 직장 연봉, 복지사항"
"1490","해당 경력 사항은?"
"1491","우리 회사 들어오면 고객 대응이 힘들텐데?"
"1492","언제부터 다닐 수 있나요?"
"1493","우리회사에 대해서 아는것은?"
"1494","왜 이 직무를 택했는가?"
"1495","회사지원동기?"
"1496","도전했던 경험"
"1497","우리회사가 고객을 상대로 서비스 지원을 하는데 고객을 만족시킨 경험이 있는지"
"1498","마지막 할 말"
"1499","싫어하는 사람과 일해본 경험"
"1500","조직을 위해 본인이 노력해서 성과를 낸 경험"
"1501","주도적으로 문제를 해결하기위해 노력한 경험"
"1502","자기소개"
"1503","대부분 자소서 기반 질문"
"1504","자소사 기반 질문"
"1505","도전했던 경험"
"1506","우리회사가 고객을 상대로 서비스 지원을 하는데 고객을 만족시킨 경험이 있는지"
"1507","마지막 할 말"
"1508","싫어하는 사람과 일해본 경험"
"1509","조직을 위해 본인이 노력해서 성과를 낸 경험"
"1510","주도적으로 문제를 해결하기위해 노력한 경험"
"1511","자기소개"
"1512","대부분 자소서 기반 질문"
"1513","자소사 기반 질문"
"1514","전공에 대한 설명"
"1515","지원 직무에 대한 이해"
"1516","자소서 기반 학력 성격 등 질문"
"1517","성실한가, 체력이 좋은가"
"1518","취미, 특기"
"1519","얼마나 오래 다닐수 있냐 등"
"1520","전직장에서의 담당업무"
"1521","본인의 강점"
"1522","이직 사유 및 우리회사에서 어떤 가치를 창출할 수 있는지"
"1523","직무중심의 질문"
"1524","자기소개"
"1525","지원동기"
"1526","왜 우리 회사로 이직하고 싶은지?"
"1527","왜 많은 제약사 중에서도 종근당인지?"
"1528","본인이 잘 하는 취미를 판매해본다면?"
"1529","직무관련 질문"
"1530","회사에 대해 알고 있는 것 (조사한 것)"
"1531","영어/전공 성적"
"1532","희망 연봉"
"1533","부모님을 존경하는 이유."
"1534","왜 계약직을 선택했냐+추후 정규직을 전환할것이냐"
"1535","계약직과 정규직에 차이를 아는가"
"1536","취미나 특기가 있는가"
"1537","일을 하게된다면 어떤 업무를 하는지 아는가"
"1538","부모님께서 고민과 걱정하는게 있다면 무엇인지 알고있는가"
"1539","이직 하려는 사유??"
"1540","우리 회사에 대해 얼마나 알고 있는가??"
"1541","본인이 생각하는 영업이란? 잘할 수 있는 이유는?"
"1542","자기소개"
"1543","회사에 대해 아는 것 말해봐라"
"1544","영업과 마케팅의 차이"
"1545","ERP 사용가능, 지원동기, 자기소개"
"1546","업계 상위권"
"1547","업계 상위권"
"1548","직무란 무엇인가"
"1549","자신의 장단점"
"1550","회사를 선택한 이유"
