"company","school","score","TOEIC","T.Speaking","OPIC","language","cert.ea_mean","overseas_exp","intern","prize","CSS"
"(주)비에이치","대졸","3.47/4.5","820점","Lv7","IH","1.2개","2.2개","1.3회","1회","1.5회","2.3회"
"일진전기(주)","초대졸","3.49/4.5","-","-","-","1개","2.5개","3회","-","-","-"
"일진전기(주)","대졸","3.56/4.5","808점","Lv6","IM1","1개","2.4개","1.3회","1.2회","1.8회","1.6회"
"(주)케이티스카이라이프","초대졸","3.49/4.5","-","-","-","3개","3.4개","-","-","-","-"
"(주)케이티스카이라이프","대졸","3.67/4.5","907점","Lv6","IM2","1개","1.7개","1회","1.5회","5회","2.5회"
"주식회사 신흥정밀","고졸","-","-","-","-","-","2.3개","1회","-","-","-"
"주식회사 신흥정밀","초대졸","3.79/4.5","510점","-","-","2개","2.1개","1회","-","4회","-"
"주식회사 신흥정밀","대졸","3.49/4.5","701점","-","IM2","1.2개","2.5개","1.6회","2회","1회","2회"
"에이에스이코리아 (주)","고졸","-","-","-","-","-","3.1개","-","-","-","4회"
"에이에스이코리아 (주)","초대졸","3.52/4.5","595점","-","-","-","2개","-","-","-","1회"
"에이에스이코리아 (주)","대졸","3.6/4.5","841점","-","IM2","1개","2.2개","1.3회","1회","1회","1.7회"
"(주)케이티엠앤에스","고졸","-","-","-","-","-","2개","-","-","-","-"
"(주)케이티엠앤에스","초대졸","3.75/4.5","-","-","-","-","3.3개","-","1회","2회","-"
"(주)케이티엠앤에스","대졸","3.56/4.5","840점","Lv6","IM1","1개","2.6개","1.2회","1.6회","3회","1.4회"
"주식회사 한국아트라스비엑스","대졸","3.49/4.5","826점","-","IM2","1.3개","2.4개","1.1회","-","1.7회","2회"
"비테스코 테크놀로지스 코리아 (주)","고졸","-","-","-","-","-","1.2개","-","-","-","1회"
"비테스코 테크놀로지스 코리아 (주)","초대졸","3.49/4.5","675점","-","-","-","2.1개","2회","-","1회","1회"
"비테스코 테크놀로지스 코리아 (주)","대졸","3.49/4.5","838점","Lv7","IM3","2개","1.8개","1.3회","1회","1회","2.5회"
"(주)이랜텍","초대졸","3.43/4.5","-","-","NH","-","2.7개","1회","-","1회","-"
"(주)이랜텍","대졸","3.46/4.5","646점","-","IM2","1개","1.9개","1.4회","1회","1회","1.5회"
"타이코에이엠피주식회사","초대졸","3.87/4.5","575점","-","-","-","1.8개","2회","-","2회","1.5회"
"타이코에이엠피주식회사","대졸","3.53/4.5","830점","Lv7","IM3","1.2개","2.1개","1.3회","1.6회","3회","2.3회"
"대덕전자(주)","고졸","-","-","-","-","1개","1.8개","-","-","-","-"
"대덕전자(주)","초대졸","3.48/4.5","735점","Lv7","-","1개","1.6개","1회","1회","3회","1회"
"대덕전자(주)","대졸","3.5/4.5","803점","Lv6","IM2","1.1개","1.9개","1.3회","1.8회","2.5회","1.5회"
"(주)성철사","초대졸","3.84/4.5","-","-","-","1개","1.9개","-","-","-","-"
"(주)성철사","대졸","3.5/4.5","706점","Lv6","-","1.5개","2.6개","2회","-","-","1회"
"온세미컨덕터코리아(주)","고졸","-","-","-","-","-","2.1개","-","-","-","1회"
"온세미컨덕터코리아(주)","초대졸","3.61/4.5","448점","-","-","-","2.4개","1.5회","-","1회","3회"
"온세미컨덕터코리아(주)","대졸","3.57/4.5","822점","Lv6","IM3","1.3개","1.9개","1.5회","1.4회","1.3회","1.8회"
"씨제이씨지브이(주)","초대졸","3.42/4.5","592점","Lv5","IL","1.3개","2개","1회","1회","-","2회"
"씨제이씨지브이(주)","대졸","3.58/4.5","822점","Lv6","IM3","1개","1.8개","1.1회","1.1회","1.5회","1.2회"
"(주)에스엠엔터테인먼트","대졸","3.47/4.5","803점","Lv6","IM2","1.2개","2.1개","1.3회","1.7회","1.5회","1.4회"
"(주)케이씨","대졸","3.55/4.5","848점","Lv6","IM3","-","2.2개","1회","1.3회","1.7회","1.8회"
"(주)에스에프에이반도체","고졸","-","-","-","-","-","2.1개","-","-","-","-"
"(주)에스에프에이반도체","대졸","3.55/4.5","829점","Lv6","IM3","1개","2.1개","1회","1회","1회","1회"
"(주)스마일게이트 엔터테인먼트","초대졸","3.64/4.5","910점","Lv6","IM2","-","1.3개","1회","1회","1회","2회"
"(주)스마일게이트 엔터테인먼트","대졸","3.5/4.5","808점","Lv6","IM2","1개","2.3개","1.4회","1.8회","2.3회","2.2회"
"쿠쿠전자 주식회사","고졸","-","-","-","-","-","1.5개","-","-","-","-"
"쿠쿠전자 주식회사","초대졸","3.65/4.5","-","-","-","1개","1.9개","1회","2회","1회","3회"
"쿠쿠전자 주식회사","대졸","3.67/4.5","824점","Lv5","IM3","1.7개","2.3개","1.6회","1.3회","2.1회","1.8회"
"하나마이크론(주)","고졸","-","-","-","-","-","2.2개","1회","3회","2.7회","2회"
"하나마이크론(주)","초대졸","3.53/4.5","-","-","NH","-","2.4개","1회","1회","1회","1.7회"
"하나마이크론(주)","대졸","3.53/4.5","827점","Lv6","IM2","1개","2.2개","1.6회","1.3회","1.4회","1.2회"
"일진머티리얼즈(주)","고졸","-","-","-","-","-","1.7개","1회","-","-","2회"
"일진머티리얼즈(주)","대학원졸","4.19/4.5","695점","Lv3","IM1","-","1개","1회","1회","2회","-"
"일진머티리얼즈(주)","초대졸","3.56/4.5","-","-","-","-","2.2개","-","-","-","1회"
"일진머티리얼즈(주)","대졸","3.54/4.5","760점","Lv7","IM2","1개","2.6개","1회","1회","1.3회","2.3회"
"나이스정보통신(주)","초대졸","3.73/4.5","-","-","-","1개","2.1개","1회","-","-","1회"
"나이스정보통신(주)","대졸","3.54/4.5","813점","Lv7","IM2","1개","1.9개","1회","1회","1회","1.5회"
"삼성전자(주)","고졸","-","551점","-","IM2","-","2.8개","2회","1.4회","2.4회","2.5회"
"삼성전자(주)","대학원졸","4.01/4.5","837점","Lv6","IM2","1.3개","2.1개","1.4회","1.3회","2.6회","2.5회"
"삼성전자(주)","초대졸","3.7/4.5","676점","Lv6","IM1","1.1개","2.5개","1.2회","1.3회","1.7회","1.6회"
"삼성전자(주)","대졸","3.69/4.5","843점","Lv6","IM3","1.2개","1.9개","1.3회","1.3회","2.1회","1.9회"
"LG전자(주)","고졸","-","955점","Lv7","-","-","2.2개","2회","1회","-","1회"
"LG전자(주)","대학원졸","3.98/4.5","859점","Lv6","IM3","1.5개","1.8개","1.4회","1.4회","2.1회","1.9회"
"LG전자(주)","초대졸","3.62/4.5","653점","Lv4","-","1.1개","2.6개","1.1회","1.5회","1.2회","1.6회"
"LG전자(주)","대졸","3.65/4.5","830점","Lv6","IM3","1.1개","1.8개","1.2회","1.2회","1.4회","1.3회"
"에스케이하이닉스(주)","고졸","-","340점","-","-","2개","2.4개","2회","1회","3회","4회"
"에스케이하이닉스(주)","대학원졸","3.95/4.5","787점","Lv6","IM1","1.3개","1.7개","1.2회","2회","2.8회","2.5회"
"에스케이하이닉스(주)","초대졸","3.83/4.5","565점","-","-","1개","2.2개","1회","-","1.3회","1.8회"
"에스케이하이닉스(주)","대졸","3.68/4.5","829점","Lv6","IM3","1.1개","1.8개","1.2회","1.1회","1.3회","1.4회"
"삼성디스플레이 주식회사","고졸","-","356점","-","-","1개","2.4개","2회","1회","1.6회","1.3회"
"삼성디스플레이 주식회사","대학원졸","4.06/4.5","851점","Lv6","IM2","1개","1.7개","1.7회","1회","1회","1.3회"
"삼성디스플레이 주식회사","초대졸","3.71/4.5","417점","Lv4","IM1","-","2.4개","2회","2.5회","1.7회","1.2회"
"삼성디스플레이 주식회사","대졸","3.63/4.5","830점","Lv6","IM2","1.3개","1.9개","1.5회","1.1회","1.8회","1.6회"
"엘지디스플레이(주)","고졸","-","-","-","IM2","-","2.3개","-","1회","1회","1회"
"엘지디스플레이(주)","대학원졸","4/4.5","728점","Lv6","IM1","1개","1.3개","1.4회","-","1.7회","2회"
"엘지디스플레이(주)","초대졸","3.69/4.5","488점","-","IM1","1.3개","2.3개","1회","1.3회","1.5회","1.3회"
"엘지디스플레이(주)","대졸","3.64/4.5","813점","Lv6","IM2","1.2개","1.7개","1.2회","1.1회","1.7회","1.4회"
"(주)케이티","고졸","-","-","-","-","1개","2.1개","-","1회","-","-"
"(주)케이티","대학원졸","3.98/4.5","829점","Lv5","IM3","1.3개","2.4개","1.4회","1회","1.8회","3.5회"
"(주)케이티","초대졸","3.58/4.5","730점","-","-","1개","1.8개","1.3회","1회","-","1회"
"(주)케이티","대졸","3.64/4.5","844점","Lv6","IH","1.1개","2.1개","1.4회","1.3회","1.4회","1.6회"
"SK텔레콤(주)","고졸","-","-","-","-","1개","2.2개","2회","-","-","3회"
"SK텔레콤(주)","대학원졸","3.93/4.5","854점","Lv6","IM2","1개","2.5개","1.6회","1회","2회","4회"
"SK텔레콤(주)","초대졸","3.67/4.5","582점","-","-","1개","2.1개","1.3회","2회","1회","1회"
"SK텔레콤(주)","대졸","3.65/4.5","842점","Lv6","IM3","1.1개","1.9개","1.1회","1.2회","1.4회","1.3회"
"(주)LG유플러스","고졸","-","520점","-","-","-","1.6개","1회","3회","2회","2회"
"(주)LG유플러스","대학원졸","4.09/4.5","808점","-","IM2","-","2.5개","2회","-","-","-"
"(주)LG유플러스","초대졸","3.66/4.5","531점","Lv6","-","1개","1.9개","1.1회","1.2회","1.6회","1.7회"
"(주)LG유플러스","대졸","3.57/4.5","834점","Lv6","IH","1.2개","2개","1.2회","1.2회","1.5회","1.8회"
"삼성SDI(주)","고졸","-","-","-","-","-","2.1개","-","-","-","2회"
"삼성SDI(주)","대학원졸","4.11/4.5","900점","-","IM2","1.1개","1.8개","1.4회","1회","2.3회","1.7회"
"삼성SDI(주)","초대졸","3.39/4.5","643점","-","IM1","1개","2개","1회","-","1.7회","1회"
"삼성SDI(주)","대졸","3.71/4.5","803점","Lv6","IM3","1.4개","2.1개","1.3회","1.2회","1.8회","1.8회"
"삼성에스디에스(주)","대학원졸","3.96/4.5","888점","-","IM3","1.3개","1.8개","1.1회","1.5회","1회","1.6회"
"삼성에스디에스(주)","초대졸","3.82/4.5","756점","Lv6","IH","1개","2.9개","1.2회","-","2회","-"
"삼성에스디에스(주)","대졸","3.6/4.5","813점","Lv6","IM3","1.1개","1.9개","1.1회","1.1회","1.7회","1.4회"
"엘지이노텍(주)","고졸","-","515점","Lv5","-","-","1.9개","1회","1회","3회","1회"
"엘지이노텍(주)","대학원졸","4.05/4.5","758점","Lv5","IM2","1.2개","1.6개","1.3회","1회","4회","-"
"엘지이노텍(주)","초대졸","3.69/4.5","470점","-","-","1.5개","2.3개","1회","1회","1.7회","1.8회"
"엘지이노텍(주)","대졸","3.64/4.5","817점","Lv6","IH","1.1개","1.7개","1.1회","1회","1.4회","1.1회"
"삼성전기(주)","고졸","-","575점","-","NH","-","2.1개","1회","1회","1.3회","1.4회"
"삼성전기(주)","대학원졸","3.99/4.5","811점","Lv6","IM2","1.3개","2개","1.1회","1회","2회","1.4회"
"삼성전기(주)","초대졸","3.68/4.5","220점","-","IL","1.5개","2.2개","1회","-","2회","1.3회"
"삼성전기(주)","대졸","3.61/4.5","848점","Lv6","IM3","1.3개","2.1개","1.3회","1.2회","1.3회","2.7회"
"네이버(주)","대졸","3.46/4.5","890점","-","IH","1개","2.7개","1.5회","2회","2회","1.5회"
"(주)다우데이타","대졸","3.42/4.5","746점","Lv6","IM2","1개","2.1개","1.3회","1.3회","1.5회","2회"
"LS전선(주)","초대졸","3.56/4.5","695점","-","-","1개","2.4개","1회","-","1회","-"
"LS전선(주)","대졸","3.56/4.5","826점","Lv6","IH","1.1개","1.7개","1.2회","1.1회","1.7회","1.7회"
"(주)다우기술","초대졸","3.5/4.5","910점","Lv6","IM2","1개","2.3개","1회","1회","1회","2회"
"(주)다우기술","대졸","3.51/4.5","756점","Lv6","IM2","1.5개","2.1개","1.1회","1.4회","1.6회","1.8회"
"(주)카카오","고졸","-","-","-","-","1개","2개","1회","-","1회","1회"
"(주)카카오","대학원졸","4.12/4.5","875점","Lv7","-","1.4개","1.9개","1.3회","1.5회","1.5회","1.5회"
"(주)카카오","초대졸","3.66/4.5","620점","-","-","1개","1.8개","1회","1회","-","3회"
"(주)카카오","대졸","3.48/4.5","762점","Lv6","IM2","1.1개","2개","1.1회","1.6회","1.7회","1.9회"
"롯데하이마트(주)","고졸","-","-","-","-","-","2개","1회","1회","1.5회","2회"
"롯데하이마트(주)","초대졸","3.6/4.5","556점","-","-","1.1개","2개","1.3회","1.7회","1회","1.2회"
"롯데하이마트(주)","대졸","3.58/4.5","832점","Lv6","IM3","1.1개","1.9개","1.3회","1.3회","1.5회","2.1회"
"에스케이브로드밴드(주)","고졸","-","655점","-","-","1개","1.9개","1회","3회","-","2회"
"에스케이브로드밴드(주)","초대졸","3.6/4.5","640점","-","-","1개","2개","1회","-","-","-"
"에스케이브로드밴드(주)","대졸","3.65/4.5","835점","Lv6","AL","1.1개","1.9개","1.3회","1.2회","2.9회","1.9회"
"(주)씨제이이엔엠","초대졸","3.71/4.5","890점","Lv7","IM2","1개","2.2개","1.2회","1회","1회","1.8회"
"(주)씨제이이엔엠","대졸","3.61/4.5","863점","Lv6","IH","1.2개","1.7개","1.2회","1.3회","1.5회","1.4회"
"주식회사엘지씨엔에스","대학원졸","3.96/4.5","821점","Lv6","IM2","2개","3개","1회","2회","1.7회","1회"
"주식회사엘지씨엔에스","초대졸","3.66/4.5","635점","-","-","1개","2.5개","1회","2회","2회","2회"
"주식회사엘지씨엔에스","대졸","3.55/4.5","828점","Lv6","IM3","1.1개","1.9개","1.1회","1.2회","1.3회","1.4회"
"삼성전자판매 주식회사","고졸","-","850점","-","-","-","2.1개","1회","-","1회","2회"
"삼성전자판매 주식회사","초대졸","3.62/4.5","630점","Lv6","IL","1개","2.2개","1.6회","2회","2.3회","2.1회"
"삼성전자판매 주식회사","대졸","3.48/4.5","762점","Lv6","IM3","1.2개","2.2개","1.6회","1.4회","1.9회","2.1회"
"주식회사 하이프라자","고졸","-","-","-","-","-","1.7개","-","-","4회","-"
"주식회사 하이프라자","초대졸","3.53/4.5","565점","-","-","-","2.5개","-","1회","6회","2회"
"주식회사 하이프라자","대졸","3.51/4.5","780점","Lv6","IL","1.5개","2.1개","1.2회","1.7회","1.6회","1.7회"
"앰코테크놀로지코리아(주)","고졸","-","-","-","-","-","2개","-","-","2회","-"
"앰코테크놀로지코리아(주)","대학원졸","4.09/4.5","798점","Lv6","IM3","1개","1.5개","1.1회","1회","1회","1회"
"앰코테크놀로지코리아(주)","초대졸","3.7/4.5","629점","Lv4","-","-","2.2개","1회","1.3회","1.9회","1.2회"
"앰코테크놀로지코리아(주)","대졸","3.67/4.5","848점","Lv6","IM3","1.1개","2개","1.5회","1.4회","1.3회","1.7회"
"희성전자주식회사","초대졸","3.41/4.5","-","-","-","-","2.7개","-","2회","-","3회"
"희성전자주식회사","대졸","3.47/4.5","712점","Lv6","-","-","1.9개","1회","1회","-","1.5회"
"넷마블(주)","대졸","3.51/4.5","824점","Lv6","IM3","1개","1.6개","1.6회","1.3회","1.9회","1.8회"
"주식회사 유라","대졸","3.38/4.5","812점","Lv6","IM2","1.3개","2.4개","1.2회","1.2회","1.7회","1.6회"
"(주)엔씨소프트","고졸","-","-","-","-","-","1.7개","-","-","1회","-"
"(주)엔씨소프트","대학원졸","3.88/4.5","846점","-","IM2","1개","2.3개","1회","-","5.5회","2.5회"
"(주)엔씨소프트","초대졸","3.68/4.5","577점","-","-","1개","2.4개","1.3회","-","1.5회","1회"
"(주)엔씨소프트","대졸","3.47/4.5","820점","Lv6","IM3","1.1개","2.1개","1.3회","1.3회","1.8회","1.7회"
"엘에스일렉트릭 주식회사","고졸","-","-","-","-","-","3개","-","-","-","-"
"엘에스일렉트릭 주식회사","대학원졸","4.12/4.5","728점","Lv6","IL","1.5개","1.4개","1회","-","1.5회","1회"
"엘에스일렉트릭 주식회사","초대졸","3.56/4.5","-","-","-","2개","1.9개","-","-","-","-"
"엘에스일렉트릭 주식회사","대졸","3.65/4.5","796점","Lv6","IM2","1개","2개","1회","1회","1회","1.6회"
"(주)아이티센","대졸","3.6/4.5","809점","-","IL","1개","2.3개","1회","1.8회","1.8회","1.8회"
"(주)한샘","초대졸","3.47/4.5","-","-","-","-","2.3개","1회","1회","2회","-"
"(주)한샘","대졸","3.83/4.5","770점","Lv6","-","1개","1.5개","1회","2회","-","2회"
"씨제이이앤엠(주)","초대졸","3.71/4.5","890점","Lv7","IM2","1개","2.2개","1.2회","1회","1회","1.8회"
"씨제이이앤엠(주)","대졸","3.61/4.5","863점","Lv6","IH","1.2개","1.7개","1.2회","1.3회","1.5회","1.4회"
"SK실트론 주식회사","초대졸","3.69/4.5","485점","-","-","1개","3.4개","1회","-","2회","-"
"SK실트론 주식회사","대졸","3.6/4.5","799점","Lv6","IM2","1개","1.6개","1.1회","1회","2회","1.8회"
"엔에이치엔(주)","초대졸","3.42/4.5","-","-","-","1개","2.8개","-","2회","-","1회"
"엔에이치엔(주)","대졸","3.56/4.5","788점","Lv6","-","1개","2.5개","1회","1.3회","1.3회","2.1회"
"(주)크래프톤","대졸","3.79/4.5","890점","Lv5","IM2","3개","2.6개","1.5회","2회","3회","2.5회"
"한화시스템(주)","대학원졸","4.16/4.5","765점","-","IL","1개","1.7개","1.3회","1회","5회","2회"
"한화시스템(주)","초대졸","3.6/4.5","525점","-","IL","-","2.6개","2회","-","1회","1회"
"한화시스템(주)","대졸","3.7/4.5","812점","Lv6","IM3","1개","1.7개","1.1회","1회","1회","1.4회"
"대한전선(주)","고졸","-","-","-","-","-","3.5개","-","-","5회","-"
"대한전선(주)","대학원졸","3.83/4.5","841점","Lv7","IM2","1개","1.9개","1.5회","1.5회","1회","1.3회"
"대한전선(주)","초대졸","3.43/4.5","598점","-","-","1개","2.1개","1.3회","3회","1회","3회"
"대한전선(주)","대졸","3.57/4.5","810점","Lv7","IM2","1개","2개","1.2회","1회","1.4회","1.8회"
"삼지전자(주)","초대졸","3.53/4.5","-","-","-","-","2.7개","1회","-","-","-"
"삼지전자(주)","대졸","3.35/4.5","712점","-","IM2","1개","2.6개","2회","-","1회","1.5회"
"현대오토에버(주)","대학원졸","3.99/4.5","747점","-","IM1","1개","1.1개","1.4회","1회","3.3회","3회"
"현대오토에버(주)","초대졸","3.48/4.5","685점","-","-","1개","2.5개","1회","1회","-","1.3회"
"현대오토에버(주)","대졸","3.69/4.5","841점","Lv6","IM3","1개","1.7개","1.3회","1.1회","1.5회","1.5회"
"소니코리아주식회사","고졸","-","-","-","-","-","1.5개","-","-","-","-"
"소니코리아주식회사","초대졸","3.54/4.5","488점","-","-","1.3개","1.9개","1회","2.5회","1회","1.5회"
"소니코리아주식회사","대졸","3.56/4.5","787점","Lv6","IM1","1.4개","2.1개","1.3회","1.3회","4회","1.3회"
"(주)뉴옵틱스","고졸","-","-","-","-","1개","1.3개","1회","-","-","-"
"(주)뉴옵틱스","초대졸","3.66/4.5","-","-","-","1개","2.1개","1회","-","-","2회"
"(주)뉴옵틱스","대졸","3.44/4.5","733점","Lv5","NH","1개","2.5개","1.7회","3회","1회","1회"
"(주)엠씨넥스","고졸","-","-","-","-","1개","1.7개","-","-","-","-"
"(주)엠씨넥스","초대졸","3.55/4.5","780점","-","-","1개","1.9개","1.2회","3회","-","1회"
"(주)엠씨넥스","대졸","3.56/4.5","747점","-","IM1","1.8개","2.3개","1.4회","2.5회","2.7회","1.8회"
"한화큐셀코리아(주)","대졸","3.66/4.5","704점","Lv6","IH","1개","2.3개","1.5회","1.5회","-","2.5회"
"(주) 넥슨코리아","초대졸","3.72/4.5","712점","-","-","-","1.3개","1회","1.3회","1회","1회"
"(주) 넥슨코리아","대졸","3.55/4.5","804점","Lv6","IM2","1개","1.8개","1.1회","1.2회","1.7회","2.3회"
"세방전지(주)","대졸","3.76/4.5","827점","Lv7","IM3","1개","2개","1.3회","-","2회","2.3회"
"(주)지에스홈쇼핑","고졸","-","-","-","-","-","1.5개","1회","-","1회","-"
"(주)지에스홈쇼핑","초대졸","3.78/4.5","-","-","-","1개","1.8개","1회","1회","1.5회","1.5회"
"(주)지에스홈쇼핑","대졸","3.5/4.5","886점","Lv7","IH","1개","1.7개","1.2회","1.5회","1.4회","1.5회"
"(주)심텍","고졸","-","410점","-","-","1개","1.6개","1회","1회","1회","-"
"(주)심텍","초대졸","3.54/4.5","-","-","-","-","2개","1회","3회","1.5회","1회"
"(주)심텍","대졸","3.43/4.5","825점","Lv5","IM1","1.4개","2.1개","1.2회","1.3회","-","2회"
"한솔테크닉스(주)","고졸","-","-","-","-","1개","1.5개","-","-","1회","-"
"한솔테크닉스(주)","초대졸","3.61/4.5","250점","-","-","1.5개","1.9개","1회","1.3회","2.8회","1.7회"
"한솔테크닉스(주)","대졸","3.46/4.5","808점","Lv6","IL","1.3개","2.1개","1.3회","1회","3회","1.3회"
"(주)파트론","고졸","-","-","-","-","-","2.2개","-","1회","-","1회"
"(주)파트론","초대졸","3.84/4.5","380점","-","-","1.5개","2.7개","1회","1회","2회","-"
"(주)파트론","대졸","3.52/4.5","679점","Lv6","IM1","1개","2.3개","1.2회","1.4회","1.6회","1.8회"
"(주)엘엑스세미콘","대학원졸","3.87/4.5","674점","Lv5","IM1","1개","2.6개","1회","1회","1회","1회"
"(주)엘엑스세미콘","대졸","3.62/4.5","789점","Lv6","IM3","1개","2.9개","1.7회","2회","1.5회","1.8회"
"서울반도체(주)","고졸","-","-","-","-","-","2개","1.5회","1회","-","-"
"서울반도체(주)","대학원졸","3.98/4.5","736점","Lv6","IM2","1.3개","1.3개","1.5회","1회","1.6회","2.5회"
"서울반도체(주)","초대졸","3.51/4.5","470점","-","-","1개","2.2개","1회","1회","1.8회","1회"
"서울반도체(주)","대졸","3.66/4.5","797점","Lv6","IM2","1.1개","2.3개","1.2회","1.2회","2.4회","1.6회"
"주식회사 네오플","초대졸","3.67/4.5","648점","-","-","1개","1.8개","-","1회","1회","1회"
"주식회사 네오플","대졸","3.48/4.5","749점","-","IL","1개","2개","1.2회","-","3회","2회"
"주식회사 문화방송","고졸","-","-","-","-","1.3개","2.2개","-","1회","1회","1회"
"주식회사 문화방송","대학원졸","4.12/4.5","894점","Lv6","IM3","1개","1.9개","1.2회","1회","1회","1.7회"
"주식회사 문화방송","초대졸","3.63/4.5","583점","-","-","1.3개","2.3개","1.1회","1회","1.7회","2회"
"주식회사 문화방송","대졸","3.51/4.5","791점","Lv6","IH","1.2개","1.7개","1.3회","1.5회","1.7회","1.9회"
"주식회사 우아한형제들","대졸","3.58/4.5","828점","Lv6","IM2","1.7개","2.6개","1회","2회","1.8회","2.9회"
"(주)엘지헬로비전","고졸","-","-","-","-","-","3개","-","-","3회","2.8회"
"(주)엘지헬로비전","대졸","3.69/4.5","827점","Lv6","IM2","1개","2개","1회","1.2회","1.5회","1.1회"
"(주)드림텍","고졸","-","-","-","-","-","2개","1회","-","-","-"
"(주)드림텍","초대졸","3.97/4.5","-","-","-","-","1.9개","-","-","1회","-"
"(주)드림텍","대졸","3.55/4.5","821점","Lv6","IM1","1개","2.4개","1.4회","2회","1.6회","1.9회"
"(주)컴퓨존","고졸","-","-","-","-","-","1.6개","2회","-","-","-"
"(주)컴퓨존","초대졸","3.45/4.5","569점","-","-","-","2.2개","1.5회","3회","2.3회","2회"
"(주)컴퓨존","대졸","3.34/4.5","724점","-","-","1개","2.2개","2.5회","2회","1회","1.9회"
"주식회사 DB하이텍","초대졸","3.72/4.5","795점","-","IM1","-","2.3개","1회","-","1.7회","2회"
"주식회사 DB하이텍","대졸","3.53/4.5","812점","Lv6","IH","2개","2.3개","1.3회","1회","1회","1.3회"
"(주)케이티씨에스","고졸","-","-","-","-","1개","1.8개","-","-","-","-"
"(주)케이티씨에스","초대졸","3.56/4.5","-","-","-","1개","2.3개","1회","-","3회","1회"
"(주)케이티씨에스","대졸","3.43/4.5","750점","Lv7","IL","1.4개","2.4개","1.2회","1.7회","1.2회","1.8회"
"(주)파워로직스","고졸","-","-","-","-","-","1.9개","-","-","1회","-"
"(주)파워로직스","초대졸","3.51/4.5","-","-","-","-","2.4개","1회","-","2회","1회"
"(주)파워로직스","대졸","3.44/4.5","752점","-","-","1개","2.2개","1.4회","1회","1회","-"
"효성티앤에스(주)","고졸","-","-","-","-","-","1.6개","-","1회","2회","1회"
"효성티앤에스(주)","대학원졸","3.95/4.5","753점","Lv6","-","1개","1.8개","1회","1.3회","1.8회","3.7회"
